! 99% 90% 75% 50% <- Exceedence level for "Feb," "Mar," Apr and "May," 50% for Jun through Sep
!Extension to 2003 by C. Quan-DWR
american_runoff_forecast
wateryear	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP
1922	923	1846	1957	1498	626	78	12	0
1923	1526	1409	996	916	347	169	121	109
1924	304	360	354	220	36	0	0	0
1925	743	1090	884	633	205	38	0	0
1926	477	820	445	354	156	62	49	35
1927	966	1126	820	474	19	0	0	0
1928	647	628	512	174	23	0	0	0
1929	389	469	382	312	23	0	0	0
1930	553	610	434	226	22	0	0	0
1931	373	449	322	171	44	59	51	37
1932	1226	1222	811	650	172	0	0	0
1933	433	415	426	172	21	0	0	0
1934	544	729	382	208	106	116	104	88
1935	829	857	940	840	230	0	0	0
1936	924	1444	1068	605	80	0	0	0
1937	667	1018	1085	724	90	0	0	0
1938	531	1245	1267	685	21	0	0	0
1939	506	660	579	228	145	75	61	45
1940	920	1511	1315	661	219	44	10	0
1941	1216	1400	1037	913	483	283	282	278
1942	1040	1199	898	839	536	150	62	29
1943	1031	932	795	442	102	0	0	0
1944	562	900	672	590	232	109	85	67
1945	593	834	872	484	135	0	0	0
1946	889	973	931	410	48	0	0	0
1947	569	671	641	371	132	138	128	108
1948	376	538	758	984	529	170	116	89
1949	626	920	1181	583	121	0	0	0
1950	951	970	952	604	171	0	0	0
1951	1131	1112	875	594	357	233	214	189
1952	2577	2676	2682	1783	676	239	118	102
1953	1040	852	901	841	520	261	196	185
1954	717	929	1017	728	346	352	331	326
1955	805	877	637	692	254	83	57	31
1956	1302	1365	884	638	301	53	0	0
1957	572	819	736	589	563	370	358	335
1958	868	1251	1587	1223	394	141	64	30
1959	542	843	582	377	163	63	49	37
1960	391	746	641	423	200	84	69	49
1961	392	476	559	419	245	175	176	170
1962	479	1112	1099	575	149	0	0	0
1963	1314	1129	1301	1375	756	581	575	570
1964	784	666	612	358	189	109	87	81
1965	1017	836	639	534	94	0	0	0
1966	947	1010	711	418	135	61	59	46
1967	1224	966	1068	1265	471	86	0	0
1968	886	799	605	279	38	0	0	17
1969	1632	2144	1682	1222	299	0	0	0
1970	1123	1023	768	584	244	154	131	108
1971	1285	1103	1050	736	324	118	56	30
1972	769	897	419	329	22	0	0	0
1973	964	1230	1032	619	82	0	0	0
1974	1109	1254	1442	1004	512	266	512	505
1975	552	1043	1159	1082	375	53	0	57
1976	263	383	225	128	27	0	0	0
1977	233	212	181	97	26	0	0	0
1978	1037	1198	1092	1094	564	369	366	400
1979	581	977	820	596	148	0	0	0
1980	709	1045	712	448	132	0	0	0
1981	610	600	651	375	215	157	160	148
1982	1462	1306	1510	946	206	0	0	0
1983	1364	1697	1505	1291	524	16	0	0
1984	632	801	515	380	26	0	0	0
1985	700	793	892	428	101	36	22	26
1986	621	855	562	248	24	0	0	0
1987	334	439	431	208	25	0	0	0
1988	769	637	410	434	340	323	328	316
1989	617	682	745	334	29	0	0	0
1990	448	571	341	150	195	90	89	76
1991	277	252	613	368	148	97	84	103
1992	362	731	604	407	242	281	279	267
1993	1372	1750	1384	913	495	401	394	415
1994	528	822	523	402	249	218	221	210
1995	1579	1335	1542	1247	680	354	219	195
1996	1099	1059	758	583	373	203	179	160
1997	1414	1054	631	390	96	61	38	57
1998	1546	2091	1731	1495	1220	769	759	773
1999	1029	1430	1077	785	312	61	7	0
2000	1005	1489	950	655	532	476	456	434
2001	534	792	547	524	222	179	166	151
2002	877	933	928	568	332	202	185	159
2003	607	590	494	694	237	0	0	34

