! 99% 90% 75% 50% <- Exceedence levels for "Feb," "Mar," "Apr," and May
!Extension to 2003 by C.Quan-DWR
sacramento_runoff_forecast
wateryear	FEB	MAR	APR	MAY
1922	1970	2284	2095	1286
1923	1807	1669	1222	1161
1924	1553	1220	997	795
1925	1943	2168	1934	1743
1926	1542	1292	892	774
1927	2537	2707	2053	1693
1928	1876	1752	1668	1164
1929	1713	1679	1419	1271
1930	1842	1968	1556	1484
1931	1527	1512	1319	1061
1932	2207	2079	1575	1334
1933	1969	1921	1835	1351
1934	1650	1896	1576	1368
1935	2184	2252	2024	1688
1936	1769	1868	1330	1098
1937	1736	2132	1943	1373
1938	2475	3495	2904	1863
1939	1905	1803	1515	1099
1940	1919	2449	2090	1342
1941	2671	3129	2805	2315
1942	2304	2036	1519	1538
1943	1840	1610	1105	770
1944	1586	1812	1394	1229
1945	1586	1629	1476	991
1946	1774	1923	1562	1036
1947	1687	1773	1718	1287
1948	1579	1463	1503	1580
1949	1579	1580	1239	722
1950	1673	1525	1217	808
1951	1923	1805	1264	935
1952	2999	2601	2108	1083
1953	1928	1649	1559	1272
1954	2067	1916	1580	1115
1955	1793	1716	1360	1285
1956	2260	2608	1620	1003
1957	1795	1958	1440	1138
1958	1684	1777	1642	938
1959	1961	2221	1770	1333
1960	1596	1336	1135	790
1961	1806	1718	1637	1244
1962	1787	2041	1706	1177
1963	1936	1894	2035	1610
1964	1783	1565	1309	886
1965	1515	1274	900	857
1966	2018	1993	1433	937
1967	2308	1761	1860	1665
1968	2137	1859	1475	957
1969	2547	2770	1919	1285
1970	2037	1781	1238	746
1971	2182	1870	1663	992
1972	1511	1452	937	742
1973	1765	1940	1328	762
1974	1808	1888	1741	900
1975	1959	2174	2063	1558
1976	1563	1447	1017	780
1977	1525	1207	986	781
1978	1699	1880	1737	1655
1979	1606	1879	1553	1310
1980	1652	2072	1442	1157
1981	1948	2023	1802	1432
1982	2036	1939	1853	1181
1983	2997	3441	2935	2163
1984	1860	1919	1579	1227
1985	1805	1847	1743	1232
1986	1833	1897	1485	977
1987	1692	1664	1508	1107
1988	1660	1427	1030	1053
1989	1655	1601	1653	1148
1990	1481	1519	1201	956
1991	1561	1241	1458	1163
1992	1570	1758	1609	1412
1993	2651	2764	2042	1595
1994	1957	2137	1724	1554
1995	2196	1792	1960	1588
1996	2415	2489	1697	1520
1997	2255	1777	1415	1198
1998	2123	2774	2283	1738
1999	2050	2407	1711	1134
2000	2150	2514	1641	1394
2001	1591	1670	1218	967
2002	1699	1729	1414	1166
2003	2171	2118	2075	2275

