! Author Unknown
! Date Unknown
! SJRindex is the water year hydrologic classification for the San Joaquin Valley. See WQCP 1995.
! Similar to values found in wytypes.table (common folder) with exception of included 1919 and 1920 values.
! Extended 10/31/03 from 1994 through 1998 by MZE using data obtained from CDEC
! Extended 6/27/05 from 1998 to 2003 by C.Quan-DWR from data extracted from CDEC.
! 1=W, 2=AN, 3=BN, 4=D, 5=C
! Units None
wytypeSJR
wateryear	index
1919	4
1920	4
1921	2
1922	1
1923	2
1924	5
1925	4
1926	5
1927	3
1928	4
1929	5
1930	5
1931	5
1932	3
1933	5
1934	5
1935	3
1936	2
1937	2
1938	1
1939	4
1940	2
1941	1
1942	2
1943	2
1944	4
1945	3
1946	3
1947	5
1948	5
1949	5
1950	4
1951	3
1952	1
1953	3
1954	4
1955	5
1956	2
1957	3
1958	1
1959	5
1960	5
1961	5
1962	3
1963	3
1964	5
1965	2
1966	5
1967	1
1968	5
1969	1
1970	2
1971	3
1972	5
1973	3
1974	2
1975	2
1976	5
1977	5
1978	1
1979	2
1980	1
1981	4
1982	1
1983	1
1984	2
1985	4
1986	2
1987	5
1988	5
1989	5
1990	5
1991	5
1992	5
1993	2
1994	5
1995	1
1996	2
1997	1
1998	1
1999	2
2000	3
2001	5
2002	5
2003	5

