!Average past five SJR 60-20-20 water year types
!Joint model
!Extended 6/27/05 from 1998 to 2003 by C.Quan-DWR.
wytypeSJRave5
wateryear	index
1922	2.00
1923	2.00
1924	3.00
1925	3.00
1926	3.40
1927	3.80
1928	4.20
1929	4.20
1930	4.40
1931	4.40
1932	4.40
1933	4.60
1934	4.60
1935	4.20
1936	3.60
1937	3.40
1938	2.60
1939	2.40
1940	2.20
1941	2.00
1942	2.00
1943	2.20
1944	2.20
1945	2.40
1946	2.80
1947	3.40
1948	4.00
1949	4.20
1950	4.40
1951	4.40
1952	3.60
1953	3.20
1954	3.00
1955	3.20
1956	3.00
1957	3.40
1958	3.00
1959	3.20
1960	3.20
1961	3.80
1962	3.80
1963	4.20
1964	4.20
1965	3.60
1966	3.60
1967	3.20
1968	3.60
1969	2.80
1970	2.80
1971	2.40
1972	3.20
1973	2.80
1974	3.00
1975	3.00
1976	3.40
1977	3.40
1978	3.00
1979	3.00
1980	2.80
1981	2.60
1982	1.80
1983	1.80
1984	1.80
1985	2.40
1986	2.00
1987	2.80
1988	3.60
1989	4.20
1990	4.40
1991	5.00
1992	5.00
1993	4.40
1994	4.40
1995	3.60
1996	3.00
1997	2.20
1998	2.00
1999	1.40
2000	1.80
2001	2.40
2002	3.20
2003	4.00

