!Extended 6/17/05 from 1994 to 2003 by C.Quan-DWR.
delta_index
wateryear	Dlt_Idx
1921	19008
1922	19477
1923	11821
1924	5160
1925	14530
1926	10242
1927	21071
1928	14965
1929	7015
1930	10123
1931	5439
1932	12921
1933	8159
1934	7812
1935	15564
1936	20282
1937	15813
1938	33030
1939	7716
1940	26495
1941	24653
1942	22863
1943	22295
1944	9794
1945	14712
1946	13833
1947	8795
1948	12502
1949	11116
1950	14753
1951	16815
1952	29261
1953	16459
1954	16109
1955	8877
1956	25872
1957	13082
1958	29059
1959	11180
1960	12192
1961	8389
1962	15595
1963	19286
1964	8247
1965	20517
1966	11155
1967	22379
1968	11743
1969	34301
1970	24573
1971	16633
1972	11228
1973	19334
1974	26743
1975	17956
1976	6110
1977	3436
1978	24724
1979	14072
1980	26685
1981	9514
1982	31694
1983	38555
1984	15438
1985	8663
1986	30958
1987	7741
1988	6964
1989	12358
1990	7034
1991	7797
1992	7933
1993	24368
1994	6416
1995	37791
1996	24276
1997	27927
1998	30797
1999	20192
2000	20899
2001	8723
2002	10959
2003	14555

