!Extension to 2003 C.Quan-DWR
feather_runoff_forecast
wateryear	month	frcst_fea
1922	4	1706.1
1922	5	1536.2
1922	6	2423.4
1922	7	2749.9
1922	8	1585.2
1923	4	2016.3
1923	5	2060.5
1923	6	1636.6
1923	7	1238.0
1923	8	944.0
1924	4	773.8
1924	5	661.9
1924	6	543.0
1924	7	452.4
1924	8	304.3
1925	4	992.8
1925	5	814.6
1925	6	784.3
1925	7	671.0
1925	8	373.9
1926	4	862.4
1926	5	1037.8
1926	6	901.2
1926	7	505.1
1926	8	395.6
1927	4	1471.9
1927	5	1549.8
1927	6	1712.3
1927	7	1505.7
1927	8	990.6
1928	4	1533.3
1928	5	1452.3
1928	6	1006.3
1928	7	976.3
1928	8	469.5
1929	4	1104.6
1929	5	968.1
1929	6	767.1
1929	7	629.0
1929	8	504.6
1930	4	877.8
1930	5	1091.9
1930	6	864.3
1930	7	601.0
1930	8	343.5
1931	4	898.3
1931	5	845.9
1931	6	659.7
1931	7	598.7
1931	8	438.4
1932	4	1601.4
1932	5	1642.7
1932	6	1236.4
1932	7	825.5
1932	8	565.3
1933	4	918.2
1933	5	1053.5
1933	6	784.8
1933	7	780.9
1933	8	465.8
1934	4	1325.5
1934	5	1049.0
1934	6	956.7
1934	7	777.0
1934	8	576.1
1935	4	1176.6
1935	5	1579.2
1935	6	1430.8
1935	7	1677.2
1935	8	1285.5
1936	4	1114.1
1936	5	1294.8
1936	6	1690.2
1936	7	1281.7
1936	8	731.1
1937	4	1019.5
1937	5	1138.1
1937	6	1408.5
1937	7	1420.6
1937	8	868.9
1938	4	1842.6
1938	5	1988.7
1938	6	3389.7
1938	7	3445.3
1938	8	2001.2
1939	4	1228.3
1939	5	1173.7
1939	6	962.6
1939	7	820.5
1939	8	433.0
1940	4	955.2
1940	5	1333.5
1940	6	1841.9
1940	7	1706.2
1940	8	690.8
1941	4	1947.9
1941	5	2198.9
1941	6	1946.8
1941	7	1558.5
1941	8	1217.5
1942	4	1939.1
1942	5	1887.8
1942	6	1476.9
1942	7	1307.4
1942	8	1138.5
1943	4	1483.2
1943	5	1834.1
1943	6	1222.6
1943	7	935.3
1943	8	389.3
1944	4	1130.5
1944	5	1143.0
1944	6	1245.1
1944	7	1120.8
1944	8	816.5
1945	4	1446.4
1945	5	1136.8
1945	6	1116.2
1945	7	1171.8
1945	8	623.2
1946	4	2192.6
1946	5	1561.3
1946	6	1359.3
1946	7	1304.6
1946	8	544.3
1947	4	1225.0
1947	5	996.6
1947	6	785.3
1947	7	986.4
1947	8	605.1
1948	4	964.5
1948	5	928.4
1948	6	707.7
1948	7	1181.9
1948	8	1510.5
1949	4	1159.0
1949	5	985.3
1949	6	948.5
1949	7	1034.3
1949	8	360.2
1950	4	862.9
1950	5	1188.2
1950	6	977.3
1950	7	1061.2
1950	8	603.4
1951	4	1721.3
1951	5	1875.1
1951	6	1423.3
1951	7	1153.8
1951	8	754.9
1952	4	2894.1
1952	5	4200.1
1952	6	3788.7
1952	7	3852.2
1952	8	1849.4
1953	4	1868.7
1953	5	1675.9
1953	6	1017.2
1953	7	1114.2
1953	8	919.7
1954	4	1085.2
1954	5	1396.3
1954	6	1315.5
1954	7	1305.1
1954	8	804.0
1955	4	1317.5
1955	5	1209.6
1955	6	984.9
1955	7	771.1
1955	8	722.6
1956	4	1725.1
1956	5	1834.5
1956	6	1956.0
1956	7	1219.6
1956	8	594.7
1957	4	1218.7
1957	5	1248.6
1957	6	1091.9
1957	7	832.6
1957	8	589.4
1958	4	1281.3
1958	5	1451.8
1958	6	1454.4
1958	7	1791.5
1958	8	1102.0
1959	4	1196.8
1959	5	1250.2
1959	6	1340.2
1959	7	1023.0
1959	8	573.1
1960	4	788.5
1960	5	865.5
1960	6	738.5
1960	7	756.2
1960	8	393.3
1961	4	1178.5
1961	5	1103.5
1961	6	840.2
1961	7	1008.3
1961	8	731.5
1962	4	1166.6
1962	5	1092.7
1962	6	1558.2
1962	7	1549.6
1962	8	736.0
1963	4	1687.6
1963	5	1686.2
1963	6	950.9
1963	7	1433.1
1963	8	1476.6
1964	4	1349.8
1964	5	1489.3
1964	6	1003.7
1964	7	936.1
1964	8	528.9
1965	4	1600.6
1965	5	1487.4
1965	6	766.3
1965	7	609.1
1965	8	277.6
1966	4	1783.6
1966	5	1651.8
1966	6	1335.1
1966	7	1032.2
1966	8	546.1
1967	4	1610.1
1967	5	2417.9
1967	6	1464.3
1967	7	1768.7
1967	8	1664.4
1968	4	1400.5
1968	5	1723.5
1968	6	1034.3
1968	7	877.7
1968	8	368.9
1969	4	1981.7
1969	5	2685.2
1969	6	2794.9
1969	7	2141.5
1969	8	1246.5
1970	4	1889.8
1970	5	1910.0
1970	6	1279.9
1970	7	1087.9
1970	8	772.5
1971	4	2591.1
1971	5	2321.4
1971	6	1532.1
1971	7	1591.1
1971	8	925.8
1972	4	1362.8
1972	5	1137.0
1972	6	865.4
1972	7	416.4
1972	8	268.2
1973	4	1200.6
1973	5	1487.9
1973	6	1488.9
1973	7	1076.7
1973	8	390.9
1974	4	2164.6
1974	5	1817.5
1974	6	1455.3
1974	7	1944.3
1974	8	1002.7
1975	4	1380.2
1975	5	1199.9
1975	6	1467.4
1975	7	1587.4
1975	8	1214.0
1976	4	1007.7
1976	5	769.5
1976	6	724.7
1976	7	546.9
1976	8	345.5
1977	4	710.7
1977	5	608.9
1977	6	521.2
1977	7	434.7
1977	8	289.8
1978	4	1115.7
1978	5	1725.9
1978	6	1524.2
1978	7	1348.3
1978	8	1227.2
1979	4	1061.6
1979	5	985.5
1979	6	1146.8
1979	7	1001.4
1979	8	674.8
1980	4	1576.2
1980	5	1177.1
1980	6	1137.7
1980	7	816.9
1980	8	462.3
1981	4	1137.4
1981	5	1289.6
1981	6	913.2
1981	7	933.3
1981	8	571.5
1982	4	2386.0
1982	5	2245.4
1982	6	1507.2
1982	7	1964.4
1982	8	1206.2
1983	4	2393.1
1983	5	2704.6
1983	6	3025.5
1983	7	2591.0
1983	8	1905.9
1984	4	2470.0
1984	5	1492.9
1984	6	1251.9
1984	7	1029.2
1984	8	686.1
1985	4	1635.6
1985	5	1305.8
1985	6	1092.9
1985	7	1210.6
1985	8	615.7
1986	4	1136.9
1986	5	1198.4
1986	6	1230.6
1986	7	799.1
1986	8	330.2
1987	4	1074.4
1987	5	975.7
1987	6	734.1
1987	7	651.4
1987	8	312.6
1988	4	1033.9
1988	5	1012.0
1988	6	580.8
1988	7	400.3
1988	8	354.6
1989	4	1223.5
1989	5	1107.8
1989	6	843.2
1989	7	1113.7
1989	8	558.5
1990	4	1005.2
1990	5	1048.3
1990	6	948.7
1990	7	684.7
1990	8	398.6
1991	4	751.5
1991	5	666.0
1991	6	577.8
1991	7	874.0
1991	8	501.5
1992	4	960.3
1992	5	841.1
1992	6	859.6
1992	7	747.0
