D:\CALSIM_WS\DRR\DRR_2013\DRR2013_FutureCC_081513_BDCP_1ftSLR\common\DSS\2020D09E_Q5_2060_SV.dss,D:\CALSIM_WS\DRR\DRR_2013\DRR2013_FutureCC_081513_BDCP_1ftSLR\common\DSS\2020D09E_Q5_2060_SV_old.dss
/CALSIM/DEM_D810_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,/CALSIM/DEM_D810_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,15.0
/CALSIM/DEM_D814_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,/CALSIM/DEM_D814_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,15.0
/CALSIM/DEM_D815_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,/CALSIM/DEM_D815_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,60.0
/CALSIM/DEM_D846_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,/CALSIM/DEM_D846_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,15.0
/CALSIM/DEM_D848_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,/CALSIM/DEM_D848_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,225.0
/CALSIM/DEM_D849_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,/CALSIM/DEM_D849_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,15.0
/CALSIM/DEM_D859_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,/CALSIM/DEM_D859_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,2700.0
/CALSIM/DEM_D868_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,/CALSIM/DEM_D868_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,15.0
/CALSIM/DEM_D877_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,/CALSIM/DEM_D877_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,15.0
/CALSIM/DEM_D883_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,/CALSIM/DEM_D883_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,30.0
/CALSIM/DEM_D884_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,/CALSIM/DEM_D884_PIN/DEMAND-SWP-IN/01JAN1920/1MON/2020D09E/,75.0
/CALSIM/DEM_D8A_WR_ANN/DEMAND-NP-MI/01JAN1920/1MON/2020D09E/,/CALSIM/DEM_D8A_WR_ANN/DEMAND-NP-MI/01JAN1920/1MON/2020D09E/,16356.0
/CALSIM/DEM_D8G_WR_ANN/DEMAND-NP-MI/01JAN1920/1MON/2020D09E/,/CALSIM/DEM_D8G_WR_ANN/DEMAND-NP-MI/01JAN1920/1MON/2020D09E/,29520.0
