! CCWD_demand_pattern - EXISTING LEVEL
! Los Vaqueros Reservoir Demand
! Wyear_type = water year type (SAC_index), month = month (OCT = 1)
! CCWD_base_demand = Contra Costa Water District base demand pattern (fraction)
! CCWD_rel_demand = Contra Costa Water District reliability demand (TAF).  End of February
! Source information: April 2004 Planning Report
CCWD_demand_pattern
wyear_type     month    CCWD_base_demand        CCWD_rel_demand
1               1       0.102426                0.101945
1               2       0.071878                0.066230
1               3       0.051213                0.048964
1               4       0.045822                0.046216
1               5       0.045822                0.047998
1               6       0.045822                0.046954
1               7       0.061096                0.060518
1               8       0.082659                0.084966
1               9       0.105121                0.109180
1               10      0.132075                0.132911
1               11      0.139263                0.138050
1               12      0.116801                0.116067
2               1       0.100507                0.099908
2               2       0.072635                0.068421
2               3       0.067568                0.064520
2               4       0.050676                0.051199
2               5       0.042230                0.043169
2               6       0.043919                0.045008
2               7       0.060811                0.063332
2               8       0.077703                0.079969
2               9       0.109797                0.112046
2               10      0.126689                0.127571
2               11      0.133446                0.132008
2               12      0.114020                0.112850
3               1       0.096541                0.096185
3               2       0.074014                0.069215
3               3       0.065969                0.063342
3               4       0.057120                0.054338
3               5       0.045052                0.046534
3               6       0.045857                0.048113
3               7       0.065165                0.067676
3               8       0.084473                0.085487
3               9       0.106195                0.108877
3               10      0.124698                0.125511
3               11      0.127112                0.126777
3               12      0.107804                0.107946
4               1       0.090639                0.090013
4               2       0.071322                0.070492
4               3       0.065379                0.063815
4               4       0.063150                0.061792
4               5       0.054235                0.054823
4               6       0.049777                0.051487
4               7       0.071322                0.073064
4               8       0.090639                0.091678
4               9       0.102526                0.103894
4               10      0.120357                0.120077
4               11      0.117385                0.116641
4               12      0.103269                0.102224
5               1       0.084438                0.085117
5               2       0.068388                0.067903
5               3       0.064899                0.064177
5               4       0.062805                0.062475
5               5       0.062107                0.062173
5               6       0.061410                0.060439
5               7       0.074669                0.075270
5               8       0.094906                0.095041
5               9       0.105373                0.105575
5               10      0.113050                0.113790
5               11      0.110258                0.110534
5               12      0.097697                0.097507
