wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4381.03271484
1000.0        4381.03271484
1500.0        4381.03271484
2000.0        4381.03271484
2500.0        4381.03271484
3000.0        4381.03271484
3500.0        4381.03271484
4000.0        4381.03271484
4500.0        4381.03271484
5000.0        4381.03271484
5500.0        4381.03271484
6000.0        4381.03271484
6500.0        4778.50208072
7000.0        5606.8531674
7500.0        5854.66206438
8000.0        6552.82934825
8500.0        7375.15167794
9000.0        8092.53719497
9500.0        8765.15616814
10000.0        9755.10157619
10500.0        10508.7721554
11000.0        11194.2106422
11500.0        11490.334111
12000.0        11677.3815629
12500.0        11697.7448367
13000.0        11697.7448367
13500.0        11878.7426644
14000.0        11903.956593
14500.0        11903.956593
15000.0        11903.956593
15500.0        11903.956593
16000.0        11903.956593
16500.0        11903.956593
17000.0        11903.956593
17500.0        11903.956593
18000.0        11903.956593
18500.0        11903.956593
19000.0        11903.956593
19500.0        11903.956593
20000.0        11903.956593
