wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4114.76513672
1000.0        4114.76513672
1500.0        4114.76513672
2000.0        4114.76513672
2500.0        4114.76513672
3000.0        4114.76513672
3500.0        4114.76513672
4000.0        4114.76513672
4500.0        4114.76513672
5000.0        4114.76513672
5500.0        4114.76513672
6000.0        4238.18965449
6500.0        4827.95644047
7000.0        5483.56431936
7500.0        6017.19858324
8000.0        6627.36206398
8500.0        7504.75595876
9000.0        8174.94049376
9500.0        8805.04899044
10000.0        9823.37028534
10500.0        10553.8147404
11000.0        11215.4795268
11500.0        11495.3747873
12000.0        11687.3753988
12500.0        11696.9334048
13000.0        11696.9334048
13500.0        11876.8798552
14000.0        11902.8833753
14500.0        11902.8833753
15000.0        11902.8833753
15500.0        11902.8833753
16000.0        11902.8833753
16500.0        11902.8833753
17000.0        11902.8833753
17500.0        11902.8833753
18000.0        11902.8833753
18500.0        11902.8833753
19000.0        11902.8833753
19500.0        11902.8833753
20000.0        11902.8833753
