wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4429.27880859
1000.0        4429.27880859
1500.0        4429.27880859
2000.0        4429.27880859
2500.0        4429.27880859
3000.0        4429.27880859
3500.0        4429.27880859
4000.0        4429.27880859
4500.0        4429.27880859
5000.0        4429.27880859
5500.0        4429.27880859
6000.0        4429.27880859
6500.0        4822.59268649
7000.0        5784.02748234
7500.0        5814.42582137
8000.0        6440.55927088
8500.0        7531.09752095
9000.0        8167.11651243
9500.0        8835.75398437
10000.0        9829.32710115
10500.0        10574.363003
11000.0        11306.420721
11500.0        11647.7723281
12000.0        11847.2231642
12500.0        11900.3275288
13000.0        11900.3275288
13500.0        12042.7984582
14000.0        12056.7496207
14500.0        12056.7496207
15000.0        12056.7496207
15500.0        12056.7496207
16000.0        12056.7496207
16500.0        12056.7496207
17000.0        12056.7496207
17500.0        12056.7496207
18000.0        12056.7496207
18500.0        12056.7496207
19000.0        12056.7496207
19500.0        12056.7496207
20000.0        12056.7496207
