wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4071.09570312
1000.0        4071.09570312
1500.0        4071.09570312
2000.0        4071.09570312
2500.0        4071.09570312
3000.0        4071.09570312
3500.0        4071.09570312
4000.0        4071.09570312
4500.0        4071.09570312
5000.0        4071.09570312
5500.0        4071.09570312
6000.0        4490.30957054
6500.0        4771.74699192
7000.0        5477.49294411
7500.0        5916.85579845
8000.0        6638.21869297
8500.0        7485.68883904
9000.0        8167.39961595
9500.0        8834.78370977
10000.0        9869.88389503
10500.0        10596.1296514
11000.0        11320.6193709
11500.0        11632.6289655
12000.0        11852.0324209
12500.0        11910.2651891
13000.0        11910.2651891
13500.0        12036.5867495
14000.0        12049.9228185
14500.0        12049.9228185
15000.0        12049.9228185
15500.0        12049.9228185
16000.0        12049.9228185
16500.0        12049.9228185
17000.0        12049.9228185
17500.0        12049.9228185
18000.0        12049.9228185
18500.0        12049.9228185
19000.0        12049.9228185
19500.0        12049.9228185
20000.0        12049.9228185
