wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1526.81640625
1000.0        1526.81640625
1500.0        1526.81640625
2000.0        1526.81640625
2500.0        1526.81640625
3000.0        1572.86726669
3500.0        2330.10990566
4000.0        3025.53498454
4500.0        4365.61562639
5000.0        5300.42526087
5500.0        6061.64976951
6000.0        7323.26749144
6500.0        7895.65984672
7000.0        8184.06786973
7500.0        8319.56168257
8000.0        8319.56168257
8500.0        8319.56168257
9000.0        8319.56168257
9500.0        8319.56168257
10000.0        8319.56168257
10500.0        8319.56168257
11000.0        8319.56168257
11500.0        8319.56168257
12000.0        8319.56168257
12500.0        8319.56168257
13000.0        8319.56168257
13500.0        8319.56168257
14000.0        8319.56168257
14500.0        8319.56168257
15000.0        8319.56168257
15500.0        8319.56168257
16000.0        8319.56168257
16500.0        8319.56168257
17000.0        8319.56168257
17500.0        8319.56168257
18000.0        8319.56168257
18500.0        8319.56168257
19000.0        8319.56168257
19500.0        8319.56168257
20000.0        8319.56168257
