!	LFF - lateral flow loss fraction lateral flow					
!	DPF - deep percolation loss fraction  					
!	OSF - canal operating spill fraction  					
!	EVF - evaporative loss fraction  					
!	Diversions = AW*(1+ RPF) + Div*(EVF+DPF+LFF+OSF) -GP -RU					
!	AW = ET+SR - PR +DP+TW					
!	RU = min(TW, RUFR*AWR + RUFO*AWO + RUFW*AWW)					
!	GPminCFS = GPmin * (1+ RPF)* (AWo + AWr + Aww) -GPmin* (AWo * RUFo +  AWr * RUFr + AWW*RUFw)					
flowlossfactors						
ID	lff	dpf	osf	evf		
1	0.150	0.150	0.070	0.010	!	D_CWD009_02_NA
2	0.150	0.150	0.070	0.010	!	D_CLR009_02_NA
3	0.150	0.150	0.070	0.010	!	D_SAC281_02_NA
4	0.210	0.220	0.210	0.010	!	D_SAC296_02_SA
5	0.150	0.150	0.040	0.010	!	D_BTL006_03_NA
6	0.150	0.150	0.040	0.010	!	D_COW014_03_NA
7	0.150	0.150	0.040	0.010	!	D_BCN005_03_NA
8	0.150	0.150	0.040	0.010	!	D_SAC273_03_NA
9	0.110	0.150	0.040	0.010	!	D_SAC294_03_PA
10	0.240	0.240	0.230	0.010	!	D_SAC289_03_SA
11	0.000	0.010	0.000	0.000	!	D_SAC224_04_NA
12	0.000	0.010	0.000	0.000	!	D_ELD012_04_NA
13	0.000	0.010	0.000	0.000	!	D_THM012_04_NA
14	0.050	0.060	0.030	0.010	!	D_CCL005_04_PA1
15	0.000	0.000	0.000	0.010	!	D_TCC022_04_PA2
16	0.000	0.010	0.000	0.000	!	D_TCC022_TCCLOS  :EVF_04_TCCL
17	0.170	0.170	0.150	0.010	!	D_SAC240_05_NA
18	0.170	0.170	0.150	0.010	!	D_ANT010_05_NA
19	0.170	0.170	0.150	0.010	!	D_MLC006_05_NA
20	0.170	0.170	0.150	0.010	!	D_DRC010_05_NA
21	0.170	0.170	0.150	0.010	!	D_DRC005_05_NA
22	0.180	0.170	0.110	0.010	!	D_STN021_06_PA
23	0.180	0.170	0.110	0.010	!	D_STN026_06_PA
24	0.110	0.140	0.040	0.010	!	D_TCC036_07N_PA
25	0.000	0.010	0.000	0.000	!	D_TCC081_07S_PA
26	0.000	0.010	0.000	0.000	!	D_TCC111_07S_PA
27	0.250	0.250	0.250	0.010	!	D_CBD049_08N_PA
28	0.05	0.06	0.03	0.01	!	D_GCC027_08N_PR1
29	0.050	0.060	0.030	0.010	!	D_GCC039_08N_PR2
30	0.110	0.140	0.040	0.010	!	D_SAC178_08N_SA1
