WTS_Stage1_Targets_C3		
Year	SWP_LYRA	SWP_Phase8
1921	0	0
1922	0	0
1923	2	0
1924	31	0
1925	7	0
1926	14	0
1927	0	0
1928	33	0
1929	35	0
1930	9	0
1931	72	0
1932	8	0
1933	61	0
1934	121	0
1935	2	0
1936	4	0
1937	2	0
1938	0	0
1939	47	0
1940	12	0
1941	0	0
1942	0	0
1943	3	0
1944	5	0
1945	0	0
1946	7	0
1947	63	0
1948	8	0
1949	7	0
1950	0	0
1951	21	0
1952	17	0
1953	3	0
1954	61	0
1955	32	0
1956	0	0
1957	0	0
1958	3	0
1959	64	0
1960	8	0
1961	82	0
1962	0	0
1963	0	0
1964	26	0
1965	14	0
1966	17	0
1967	16	0
1968	17	0
1969	0	0
1970	53	0
1971	3	0
1972	0	0
1973	11	0
1974	0	0
1975	0	0
1976	64	0
1977	19	0
1978	4	0
1979	2	0
1980	2	0
1981	19	0
1982	4	0
1983	0	0
1984	24	0
1985	27	0
1986	7	0
1987	100	0
1988	86	0
1989	75	0
1990	54	0
1991	58	0
1992	58	0
1993	17	0
1994	69	0
1995	25	0
1996	0	0
1997	52	0
1998	16	0
1999	0	0
2000	38	0
2001	88	0
2002	50	0
2003	2	0
2004	10	0
2005	0	0
2006	0	0
2007	68	0
2008	58	0
2009	0	0
