!   99% 99% 99% 90% 90% <-  Exceedence level for Jan, Feb, Mar, Apr and May
!Extension to 2009 by Liheng Zhong-DWR
feather_runoff_forecast
wateryear   JAN     FEB     MAR     APR     MAY
1922        1506    1403    2458    3019    1903
1923        2049    2298    1907    1575    1273
1924        791     701     607     514     346
1925        988     846     956     898     514
1926        791     1074    1072    650     508
1927        1465    1602    1976    1903    1361
1928        1542    1525    1040    1164    576
1929        959     864     699     635     517
1930        911     1241    1013    808     457
1931        791     803     607     649     440
1932        1670    1869    1499    1155    820
1933        791     1067    766     962     565
1934        1381    1172    1109    966     691
1935        1170    1745    1615    2030    1765
1936        965     1390    2015    1650    946
1937        791     994     1497    1768    1226
1938        1715    1892    3330    3923    2544
1939        1132    1178    960     971     453
1940        791     1311    1872    1966    829
1941        1970    2390    2314    2069    1706
1942        1896    1997    1779    1690    1503
1943        1401    2020    1400    1237    495
1944        904     1052    1295    1368    1046
1945        1505    1230    1335    1534    873
1946        2269    1765    1586    1664    739
1947        1259    1041    861     1265    785
1948        918     995     728     1343    1767
1949        1082    925     922     1256    446
1950        791     1265    1166    1411    850
1951        1739    2053    1634    1444    911
1952        2757    4195    4078    4510    2539
1953        1907    2059    1291    1505    1265
1954        980     1514    1501    1622    1019
1955        1269    1281    1078    941     934
1956        1727    2060    2386    1700    828
1957        1083    1235    1204    1028    728
1958        1221    1489    1633    2190    1522
1959        948     1224    1494    1221    662
1960        791     801     841     1016    538
1961        1234    1226    963     1295    952
1962        964     953     1782    2063    1070
1963        1765    1814    1024    1563    1629
1964        1323    1637    1110    1155    644
1965        1598    1755    951     808     346
1966        1754    1802    1512    1300    659
1967        1621    2679    1712    2233    2259
1968        1272    1793    1230    1166    480
1969        1785    2782    3149    2713    1708
1970        1673    2079    1425    1309    883
1971        2615    2540    1743    2077    1255
1972        1292    1154    938     514     346
1973        1122    1592    1729    1484    578
1974        2155    1941    1546    2370    1391
1975        1234    1095    1571    1897    1578
1976        915     701     649     526     346
1977        791     701     607     514     346
1978        1060    2025    1930    1941    1850
1979        798     888     1268    1260    869
1980        1565    1308    1369    1129    643
1981        1027    1375    999     1160    713
1982        2351    2318    1610    2232    1682
1983        2382    2787    3354    3766    3222
1984        2774    1932    1736    1612    1154
1985        1631    1349    1206    1539    772
1986        1030    1211    1423    989     346
1987        791     769     636     703     346
1988        1028    1225    702     526     447
1989        1308    1210    937     1464    764
1990        931     1124    1055    867     480
1991        791     701     607     1031    604
1992        862     778     941     915     568
1993        1624    2688    3040    2420    1672
1994        1253    1150    1320    1100    833
1995        1192    2409    1580    2492    2068
1996        1429    1916    1774    1582    1211
1997        2280    1766    757     514     346
1998        1473    2097    2828    2797    2263
1999        1407    1514    1880    1619    1029
2000        1013    1496    1962    1561    949
2001        817     780     923     820     543
2002        1879    1692    1299    1401    848
2003        2444    2122    1606    1745    2126
2004        1664    1665    2046    1478    824
2005        1475    1682    1347    1583    1167
2006        2148    1866    1680    2200    1782
2007        1337    1028    1358    986     725
2008        839     1500    1489    1220    693
2009        1135    1003    1180    1165    589
