minflow
C_arc   month   minflow
100     1       300
100     2       300
100     3       300
100     4       300
100     5       300
100     6       300
100     7       300
100     8       1591
100     9       578
100     10      450
100     11      450
100     12      450
35      1       340.0
35      2       420.0
35      3       380.0
35      4       360.0
35      5       320.0
35      6       380.0
35      7       410.0
35      8       520.0
35      9       590.0
35      10      630.0
35      11      600.0
35      12      400.0
200     1       800
200     2       800
200     3       800
200     4       800
200     5       800
200     6       800
200     7       700
200     8       700
200     9       700
200     10      700
200     11      700
200     12      773.3333333
