!   99% 90% 75% 50% <- Exceedence levels for Feb, Mar, Apr, and May				
!Extension to 2009 by Liheng Zhong-DWR					
sacramento_runoff_forecast                                                  					
wateryear	FEB	MAR	APR	MAY	
1922		1976	2104	1852	1408
1923		2179	1982	1514	1237
1924		1489	1457	1089	864
1925		2215	2493	2145	1526
1926		1742	1940	1486	1253
1927		2639	2788	2421	1806
1928		2187	2100	1959	1530
1929		1955	1860	1507	1092
1930		2321	2273	1936	1241
1931		1798	1672	1375	901
1932		2371	2191	1815	1164
1933		2050	1845	1762	1161
1934		2122	2142	1767	1081
1935		2367	2280	1974	1635
1936		2191	2330	1907	1339
1937		1657	1860	1764	1403
1938		2681	2992	2874	2087
1939		1957	1779	1525	1098
1940		2349	2661	2467	1795
1941		2788	2932	2702	1999
1942		2625	2707	2285	1770
1943		2352	2239	1926	1560
1944		1806	1941	1573	1134
1945		2200	2262	1948	1305
1946		2648	2563	2197	1500
1947		1914	1903	1755	1197
1948		2123	1954	1751	1600
1949		1718	1738	1710	1343
1950		2020	1979	1703	1325
1951		2666	2652	2257	1492
1952		2771	2752	2442	1942
1953		2612	2427	2148	1531
1954		2428	2427	2154	1761
1955		2171	1997	1587	1274
1956		2961	3093	2669	1806
1957		1823	2056	1816	1413
1958		2406	2767	2586	2136
1959		2214	2343	1957	1371
1960		1766	1962	1787	1300
1961		2292	2267	2031	1358
1962		2152	2412	2108	1444
1963		2431	2401	2166	1975
1964		2240	2006	1632	1149
1965		2738	2582	2149	1802
1966		2389	2324	1980	1510
1967		2634	2446	2276	1762
1968		2215	2211	1889	1299
1969		2709	2846	2440	1854
1970		2903	2827	2466	1575
1971		2698	2513	2284	1715
1972		2034	1980	1640	1467
1973		2451	2528	2182	1504
1974		3016	2976	2885	2173
1975		1826	2113	2072	1601
1976		1659	1738	1360	1124
1977		1199	1113	882	867
1978		2686	2730	2532	1831
1979		1662	1932	1659	1211
1980		2438	2645	2284	1542
1981		2168	2131	1883	1244
1982		2779	2774	2562	2170
1983		2704	2927	3002	2096
1984		2592	2513	2195	1546
1985		2239	2114	1794	1209
1986		2274	2683	2478	1638
1987		1780	1799	1727	1174
1988		2344	2112	1671	1122
1989		2093	1907	1998	1437
1990		1984	1857	1518	984
1991		1229	1220	1518	1039
1992		1719	2050	1784	1194
1993		2584	2598	2356	1701
1994		2062	2039	1614	996
1995		2731	2598	2682	2051
1996		2291	2527	2173	1594
1997		2968	2830	2439	1554
1998		2571	2949	2700	1950
1999		2380	2558	2249	1691
2000		2342	2626	2269	1662
2001		1808	1947	1614	1201
2002		2510	2419	2058	1367
2003		2657	2526	2248	1624
2004		2367	2596	2188	1453
2005		2326	2226	1996	1384
2006		2727	2708	2593	2211
2007		1974	2140	1704	1151
2008		2308	2269	1824	1169
2009		1863	2102	1899	1268
