wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        3504.91015625
1000.0        3504.91015625
1500.0        3504.91015625
2000.0        3504.91015625
2500.0        3504.91015625
3000.0        3504.91015625
3500.0        3504.91015625
4000.0        3504.91015625
4500.0        3504.91015625
5000.0        3504.91015625
5500.0        3504.91015625
6000.0        3966.91132318
6500.0        4790.74876374
7000.0        4873.12437025
7500.0        5720.53483644
8000.0        6762.77319629
8500.0        7504.97535224
9000.0        8028.26706502
9500.0        8949.20223615
10000.0        9686.42683353
10500.0        10435.5461221
11000.0        11021.0835875
11500.0        11559.1224586
12000.0        11819.2083518
12500.0        11886.5396565
13000.0        11886.5396565
13500.0        11886.5396565
14000.0        11886.5396565
14500.0        11886.5396565
15000.0        11886.5396565
15500.0        11886.5396565
16000.0        11886.5396565
16500.0        11886.5396565
17000.0        11886.5396565
17500.0        11886.5396565
18000.0        11886.5396565
18500.0        11886.5396565
19000.0        11886.5396565
19500.0        11886.5396565
20000.0        11886.5396565
