chowchilla_agdist
forecast        month   chow_pattern
-9999   1       0
0       1       0
10	1	0
30	1	0
75	1	0
-9999   2       0
0	2	0
10	2	0
30	2	0
75	2	0
-9999   3       0
0	3	0
10	3	0
30	3	0
75	3	0
-9999   4       0
0	4	0
10	4	0
30	4	0
75	4	0
-9999   5       0
0	5	0
10	5	0
30	5	0
75	5	0
-9999   6       0
0	6	0
10	6	0
30	6	0
75	6	0
-9999   7       0
0	7	0
10	7	0
30	7	0
75	7	10
-9999   8       0
0	8	0
10	8	0
30	8	5
75	8	15
-9999   9       0
0	9	50
10	9	30
30	9	20
75	9	15
-9999   10      0
0	10	50
10	10	40
30	10	40
75	10	25
-9999   11      0
0	11	0
10	11	30
30	11	25
75	11	25
-9999   12      0
0	12	0
10	12	0
30	12	10
75	12	10

