MONTHLY DELTA ISLAND DRAINAGE RETURN CONCENTRATIONS IN MG/L
BASED ON DWR BULLETIN 123 REGIONS (NORTH, SOUTHEAST, WEST)     - KG 09/14/89
 ISLAND  OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP 

    1   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
    2   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
    3    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
    4   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
    5    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
    6    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
    7    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
    8    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
    9    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   10    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   11   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   12   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   13    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   14    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   15   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   16    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   17    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   18   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   19    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   20    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   21    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   22    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   23    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   24    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   25   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   26    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   27    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   28    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   29    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   30    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   31   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   32    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
   33    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
   34    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
   35    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   36   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   37    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
   38    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   39    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   40    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   41   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   42    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   43   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   44    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   45   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   46    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   47   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   48   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   49    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
   50    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
   51    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
   52   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   53   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   54   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   55   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   56    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   57    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
   58   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   59   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   60   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   61   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   62   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   63   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   64   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   65   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   66   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   67    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
   68    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   69   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   70   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   71    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
   72    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   73    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   74   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   75   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   76   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   77    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   78    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   79   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   80    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   81    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   82   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   83    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   84   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   85   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   86   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   87    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   88    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   89    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   90   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   91   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
   92    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   93    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   94    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   95    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   96    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   97    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   98    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
   99    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
  100    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
  101    609.    599.    829.    860.    908.    788.    619.    419.    180.    198.    244.    332.
  102   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
  103   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
  104   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
  105   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
  106   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
  107   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
  108   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
  109   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
  110   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
  111   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
  112   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
  113   1209.   1413.    835.    861.    957.   1006.   1020.    860.    680.    673.    857.   1005.
