! Net Delta Outflow Striped Bass Requirement (cfs) - D1485
! For non-subnormal years only (see NDOBassSnow.table for subnorm snow years)
! Values = 2500 cfs min value assumed in model.
! Partial month standards for Apr and May handled in WRESL: Delta-outflow.wresl 
! wyt = 43 Dry year following a W,AN, or BN || = 5 is a Critical year or a Dry following a D or C
NdoBass
month   	wyt 				flow
1               1                               2500
2               1                               2500
3               1                               2500
4               1                               2500
5               1                               2500
6               1                               2500
7               1                               6700
8               1                               14000
9               1                               14000
10              1                               10000
11              1                               2500
12              1                               2500
1               2                               2500
2               2                               2500
3               2                               2500
4               2                               2500
5               2                               2500
6               2                               2500
7               2                               6700
8               2                               14000
9               2                               10700
10              2                               7700
11              2                               2500
12              2                               2500
1               3                               2500
2               3                               2500
3               3                               2500
4               3                               2500
5               3                               2500
6               3                               2500
7               3                               6700
8               3                               11400
9               3                               9500
10              3                               6500
11              3                               2500
12              3                               2500
1               5                               2500
2               5                               2500
3               5                               2500
4               5                               2500
5               5                               2500
6               5                               2500
7               5                               6700
8               5                               3300
9               5                               3100
10              5                               2900
11              5                               2500
12              5                               2500
1               43                              2500
2               43                              2500
3               43                              2500
4               43                              2500
5               43                              2500
6               43                              2500
7               43                              6700
8               43                              4300
9               43                              3600
10              43                              3200
11              43                              2500
12              43                              2500
