wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1894.77026367
1000.0        1894.77026367
1500.0        1894.77026367
2000.0        1894.77026367
2500.0        1894.77026367
3000.0        2085.65752103
3500.0        2562.52684542
4000.0        3220.71779503
4500.0        4100.20579372
5000.0        5192.14837342
5500.0        5917.57880718
6000.0        6936.76440903
6500.0        7443.26418752
7000.0        7742.06827584
7500.0        8006.98851387
8000.0        8006.98851387
8500.0        8006.98851387
9000.0        8006.98851387
9500.0        8006.98851387
10000.0        8006.98851387
10500.0        8006.98851387
11000.0        8006.98851387
11500.0        8006.98851387
12000.0        8006.98851387
12500.0        8006.98851387
13000.0        8006.98851387
13500.0        8006.98851387
14000.0        8006.98851387
14500.0        8006.98851387
15000.0        8006.98851387
15500.0        8006.98851387
16000.0        8006.98851387
16500.0        8006.98851387
17000.0        8006.98851387
17500.0        8006.98851387
18000.0        8006.98851387
18500.0        8006.98851387
19000.0        8006.98851387
19500.0        8006.98851387
20000.0        8006.98851387
