wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4340.31111516
1000.0        4340.31111516
1500.0        4340.31111516
2000.0        4340.31111516
2500.0        4340.31111516
3000.0        4340.31111516
3500.0        4340.31111516
4000.0        4340.31111516
4500.0        4340.31111516
5000.0        4340.31111516
5500.0        4340.31111516
6000.0        4340.31111516
6500.0        4838.89198826
7000.0        5599.11687322
7500.0        5838.34868619
8000.0        6314.78540589
8500.0        7374.10630066
9000.0        8095.75526156
9500.0        8677.61194986
10000.0        9605.00684401
10500.0        10329.5101952
11000.0        11031.8131133
11500.0        11332.6645683
12000.0        11585.5185955
12500.0        11646.1326457
13000.0        11667.1874806
13500.0        11929.8497739
14000.0        11999.1749225
14500.0        11999.1749225
15000.0        11999.1749225
15500.0        11999.1749225
16000.0        11999.1749225
16500.0        11999.1749225
17000.0        11999.1749225
17500.0        11999.1749225
18000.0        11999.1749225
18500.0        11999.1749225
19000.0        11999.1749225
19500.0        11999.1749225
20000.0        11999.1749225
