Weights
month	XX1_fm	XX2_fm	XX3_fm	XX4_fm	XX5_fm	XX30_fm	XX33_fm	XXD31_fm	S12	S11
4	-50011	-50011	-50011	-50011	-50011	-50011	-50011	-55011		36	36
5	-50010	-50010	-50010	-50010	-50010	-50010	-50010	-55010		33	33
6	-50009	-50009	-50009	-50009	-50009	-50009	-50009	-55009		30	30
7	-50008	-50008	-50008	-50008	-50008	-50008	-50008	-55008		27	27
8	-50007	-50007	-50007	-50007	-50007	-50007	-50007	-55007		24	24
9	-50006	-50006	-50006	-50006	-50006	-50006	-50006	-55006		21	21
10	-50005	-50005	-50005	-50005	-50005	-50005	-50005	-55005		18	18
11	-50004	-50004	-50004	-50004	-50004	-50004	-50004	-55004		15	15
12	-50003	-50003	-50003	-50003	-50003	-50003	-50003	-55003		12	12
1	-50002	-50002	-50002	-50002	-50002	-50002	-50002	-55002		9	9
2	-50001	-50001	-50001	-50001	-50001	-50001	-50001	-55001		6	6
3	-50000	-50000	-50000	-50000	-50000	-50000	-50000	-55000		3	3
