!Extension of data from 1994 to 2003 by C.Quan-DWR on 6/17/05.											
eightriver											
wateryear	pmi_0	pmi_1	pmi_2	pmi_3	pmi_4	pmi_5	pmi_6	pmi_7	pmi_8	pmi_9	pmi_10
1921		2896	2511	2386	3396	3442	2854	2447	2282	3304	3288	2796
1922		1163	970	927	1420	1450	1188	1010	866	1381	1358	1172
1923		2032	1640	1589	2437	2466	1979	1548	1584	2235	2312	1902
1924		489	405	381	518	555	451	379	350	513	509	443
1925		925	797	738	1074	1140	911	789	680	1049	1066	879
1926		671	554	520	776	802	634	537	454	739	739	598
1927		2006	1713	1755	2463	2358	1997	1706	1626	2488	2303	1933
1928		1096	889	879	1243	1255	1038	875	811	1202	1262	1009
1929		635	528	501	719	785	587	509	480	676	713	579
1930		2371	2053	1907	2928	2840	2282	2001	1835	2775	2703	2298
1931		389	322	304	434	455	356	313	290	416	415	350
1932		1685	1364	1294	2081	2051	1690	1333	1321	1950	1889	1617
1933		420	341	309	471	494	384	326	303	453	445	380
1934		1041	868	808	1270	1273	1005	867	769	1168	1142	1001
1935		796	699	649	924	932	768	647	627	888	904	730
1936		510	411	422	608	618	518	415	395	627	596	521
1937		450	371	353	535	548	449	398	325	551	526	444
1938		4815	4068	4309	5724	5729	5033	4367	3934	5830	5857	5047
1939		797	663	618	891	941	741	654	568	855	840	720
1940		675	611	579	794	838	700	610	546	851	836	722
1941		3406	2970	2819	4226	4023	3538	2869	2806	4177	3947	3392
1942		3577	3181	2899	4534	4392	3708	2923	2899	4290	4140	3495
1943		1827	1621	1466	2079	2150	1772	1505	1457	2004	2079	1757
1944		548	455	429	653	645	520	456	396	620	598	509
1945		1505	1274	1223	1785	1807	1484	1264	1102	1733	1706	1403
1946		4603	4169	3785	5725	5539	4806	3881	3888	5331	5369	4568
1947		1064	903	844	1234	1231	1014	858	816	1154	1164	963
1948		503	464	415	543	597	489	428	386	543	578	466
1949		661	568	506	775	805	625	566	467	727	759	619
1950		435	383	339	497	519	413	363	334	486	495	412
1951		5948	5547	5116	7205	7041	6049	5262	5206	6975	6863	5857
1952		3363	3092	2818	4132	3929	3486	2953	2920	3974	3956	3446
1953		1919	1603	1503	2203	2270	1866	1572	1530	2071	2109	1847
1954		799	702	642	915	931	769	684	601	898	897	763
1955		1355	1121	1082	1588	1680	1278	1093	1078	1476	1527	1271
1956		9146	8630	8593	10732	10974	9392	7970	8866	10726	10171	9212
1957		607	543	475	705	729	584	537	420	678	674	560
1958		1624	1412	1357	1882	1967	1624	1429	1225	1934	1964	1621
1959		582	522	477	715	700	571	515	444	714	645	570
1960		474	433	388	564	545	464	440	346	562	539	463
1961		1360	1159	1114	1588	1596	1300	1124	1074	1485	1522	1261
1962		1189	957	1011	1446	1486	1241	1030	945	1497	1441	1222
1963		1896	1793	1594	2141	2306	1859	1580	1462	2062	2258	1810
1964		850	730	703	963	939	808	692	670	901	886	772
1965		8655	7790	7760	10392	10009	8867	6961	8055	10141	9363	8420
1966		1044	891	851	1268	1268	1005	840	853	1194	1151	971
1967		2981	2671	2533	3432	3417	2955	2500	2549	3284	3428	2898
1968		851	726	668	1043	1061	805	697	649	988	967	806
1969		1765	1592	1627	1980	2089	1863	1625	1581	2059	2190	1862
1970		3299	3007	2978	3705	3977	3485	2908	2959	3769	3948	3504
1971		3258	2775	2733	3913	3713	3207	2699	2719	3629	3589	3145
1972		1191	970	924	1396	1439	1126	935	902	1284	1324	1100
1973		1835	1584	1458	2238	2239	1805	1530	1420	2199	2105	1798
1974		3685	3274	3322	4371	4247	3709	3385	3131	4252	4252	3656
1975		858	714	690	1010	1015	834	741	626	1015	1032	821
1976		763	718	629	835	883	736	666	600	806	828	720
1977		379	331	300	393	425	350	312	273	383	391	342
1978		1897	1698	1586	2207	2251	1914	1617	1509	2169	2220	1916
1979		535	459	413	628	637	515	452	385	610	590	501
1980		1243	1113	1025	1443	1544	1254	1093	988	1487	1481	1265
1981		917	772	707	1076	1104	860	748	685	1039	1016	858
1982		5581	5262	5020	6870	6479	5801	5065	4881	6663	6548	5643
1983		3693	3511	3288	4328	4356	3821	3416	3155	4366	4411	3799
1984		6716	5944	5920	8495	7778	7207	5748	6039	8222	7518	6667
1985		1196	1048	1024	1425	1368	1166	1010	970	1336	1293	1115
1986		1254	1083	1137	1436	1435	1288	1112	1040	1528	1461	1273
1987		529	462	426	628	619	505	455	383	624	580	508
1988		1699	1408	1337	1990	2047	1640	1359	1340	1834	1899	1615
1989		720	599	589	841	830	692	592	557	782	821	659
1990		446	395	346	487	528	421	374	319	479	482	414
1991		336	279	281	353	383	314	291	227	337	387	312
1992		468	391	369	562	557	455	402	341	532	513	440
1993		1247	1114	1013	1483	1489	1262	1099	987	1446	1435	1276
1994		777	651	611	922	943	735	641	582	846	845	709
1995		1038	967	982	1127	1208	1053	939	909	1111	1248	1044
1996		1716	1482	1383	2035	2109	1690	1468	1298	1977	1975	1661
1997		6836	6401	6494	7944	7935	7358	5945	6761	8032	7756	7189
1998		1183	1048	1066	1326	1411	1202	1049	991	1385	1392	1212
1999		1884	1622	1579	2296	2252	1865	1606	1491	2286	2132	1828
2000		654	572	557	761	793	668	566	523	806	776	673
2001		667	568	534	810	798	642	560	490	776	738	630
2002		2491	2039	2019	3097	2990	2518	1980	2034	2874	2821	2398
2003		3242	2832	2739	3853	3804	3323	2568	2906	3655	3622	3131
