! created by ryan wilbur 4-8-03
! minimum flows, averaged by water year type from a CALSIM simulation, all values TAF
CAM_MinFlow
month	wyt	Fea	Amer	
1	1	105	105	
2	1	101	86	
3	1	105	80	
4	1	100	87	
5	1	89	67	
6	1	98	149	
7	1	60	168	
8	1	61	175	
9	1	60	179	
10	1	61	171	
11	1	61	148	
12	1	60	149	
1	2	99	98	
2	2	95	72	
3	2	99	80	
4	2	92	74	
5	2	83	71	
6	2	89	138	
7	2	60	172	
8	2	61	175	
9	2	60	170	
10	2	61	167	
11	2	61	135	
12	2	60	149	
1	3	101	93	
2	3	97	81	
3	3	101	79	
4	3	90	82	
5	3	81	70	
6	3	86	125	
7	3	59	152	
8	3	60	164	
9	3	59	153	
10	3	60	145	
11	3	60	108	
12	3	59	130	
1	4	73	72	
2	4	71	58	
3	4	73	79	
4	4	86	79	
5	4	77	65	
6	4	81	104	
7	4	53	142	
8	4	54	140	
9	4	53	117	
10	4	54	122	
11	4	54	88	
12	4	53	99	
1	5	57	51	
2	5	56	45	
3	5	57	63	
4	5	72	71	
5	5	65	57	
6	5	65	65	
7	5	48	72	
8	5	49	84	
9	5	48	89	
10	5	49	111	
11	5	49	73	
12	5	48	65	
