! Table looks up the water year and returns the Unimpaired Inflow to Folsom from Mar to Nov
! 10/9/12 MKL
!
UIFR
year	UIFR		
1921	1999
1922	2697
1923	1864
1924	389
1925	1928
1926	1165
1927	2451
1928	2083
1929	953
1930	1223
1931	557
1932	1928
1933	1186
1934	700
1935	2207
1936	2152
1937	1973
1938	3403
1939	858
1940	2311
1941	2086
1942	2561
1943	2404
1944	1316
1945	1782
1946	1788
1947	1091
1948	1926
1949	1656
1950	2992
1951	1678
1952	3495
1953	1966
1954	1569
1955	1216
1956	2140
1957	1743
1958	3219
1959	836
1960	1283
1961	817
1962	1908
1963	2257
1964	1127
1965	1945
1966	1061
1967	2982
1968	1072
1969	2696
1970	1288
1971	2001
1972	1486
1973	2132
1974	2513
1975	2331
1976	484
1977	290
1978	2204
1979	1684
1980	1793
1981	1394
1982	3732
1983	4990
1984	1741
1985	1129
1986	2226
1987	668
1988	577
1989	1994
1990	822
1991	1186
1992	605
1993	2389
1994	665
1995	4113
1996	2458
1997	1264
1998	3105
1999	2050
2000	1611
2001	846
2002	1408
2003	1681



