wsi_di_CVP_SYS
wsi     di
0.0 0.0
500.0 3983.35546875
1000.0 3983.35546875
1500.0 3983.35546875
2000.0 3983.35546875
2500.0 3983.35546875
3000.0 3983.35546875
3500.0 3983.35546875
4000.0 3983.35546875
4500.0 3983.35546875
5000.0 3983.35546875
5500.0 3983.35546875
6000.0 4010.5875862148982
6500.0 4593.270174386243
7000.0 4974.616855336229
7500.0 5763.770849308299
8000.0 6698.029216592037
8500.0 7431.362858808583
9000.0 8195.368315354706
9500.0 8863.55087844592
10000.0 9901.758620745013
10500.0 10673.157200710604
11000.0 11310.325109479854
11500.0 11587.235579254157
12000.0 11791.871846922628
12500.0 11819.963807692528
13000.0 11819.963807692528
13500.0 11964.859384400033
14000.0 11968.337345168207
14500.0 11968.337345168207
15000.0 11968.337345168207
15500.0 11968.337345168207
16000.0 11968.337345168207
16500.0 11968.337345168207
17000.0 11968.337345168207
17500.0 11968.337345168207
18000.0 11968.337345168207
18500.0 11968.337345168207
19000.0 11968.337345168207
19500.0 11968.337345168207
20000.0 11968.337345168207
