res_info
res_num         storage         area            discharge       elevation
1               0               0               0               0
1               100000          2400            0               738
1               150000          2800            4000            750
1               350000          5200            10000           800
1               572000          7200            13000           838
1               1168000         12000           38000           900
1               1686000         15200           44000           938
1               2515000         20000           65000           985
1               3713000         26400           80000           1037
1               4552100         30000           271000          1067
5               29638           594             50000           340
5               120000          1553            50000           440
5               480000          3950            50000           570
5               846367          5810            50000           639
5               852192          5838            50000           640
5               1008000         6550            20700           668
5               1680000         9340            21000           750
5               2352000         11851           21400           819
5               3553405         15855           280000          901
5               3864497         16899           750000          920
