!	99%	90%	75%	50%	<-	Exceedence	levels	for	"Feb,"	"Mar,"	"Apr,"	and	May
!Extension to 2003 by C.Quan-DWR
sacramento_runoff_forecast													
wateryear	FEB	MAR	APR	MAY									
1922	1971	2408	2356	1508									
1923	1972	1898	1411	1364									
1924	1615	1284	1056	838									
1925	1934	2562	2370	2196									
1926	1615	1524	1056	901									
1927	2517	3050	2450	2152									
1928	1967	1871	1872	1393									
1929	1825	1850	1576	1420									
1930	1979	2165	1795	1715									
1931	1658	1654	1440	1150									
1932	2431	2414	1901	1647									
1933	2062	2042	2118	1612									
1934	1790	2117	1796	1567									
1935	2397	2511	2358	2048
1936	1863	2116	1541	1291
1937	1723	2183	2173	1597
1938	2354	3689	3408	2301
1939	2017	1951	1657	1208
1940	1816	2498	2304	1596
1941	2853	3534	3329	3005
1942	2461	2442	1861	1920
1943	2070	1873	1307	918
1944	1656	1953	1529	1354
1945	1652	1778	1671	1147
1946	2007	2271	1935	1256
1947	1757	1871	1886	1422
1948	1615	1500	1569	1775
1949	1615	1670	1439	838
1950	1739	1724	1452	986
1951	2071	2129	1582	1158
1952	3204	3084	2726	1411
1953	2194	1938	1915	1606
1954	2170	2109	1815	1319
1955	1916	1883	1500	1445
1956	2423	3089	2050	1265
1957	1853	2051	1607	1310
1958	1625	1872	1835	1143
1959	1987	2451	1982	1484
1960	1615	1435	1263	904
1961	1901	1848	1866	1464
1962	1752	2236	2051	1378
1963	2004	1970	2144	1850
1964	1932	1721	1462	997
1965	1737	1484	1056	1012
1966	2226	2335	1754	1080
1967	2450	1923	2101	2041
1968	2292	2078	1684	1099
1969	2669	3312	2474	1675
1970	2138	1946	1410	866
1971	2473	2123	2003	1230
1972	1654	1634	1056	838
1973	1790	2109	1559	896
1974	1935	2058	2043	1153
1975	1900	2264	2290	1841
1976	1615	1512	1090	844
1977	1615	1284	1056	838
1978	1810	2101	2046	2024
1979	1695	2069	1745	1493
1980	1702	2272	1677	1393
1981	2063	2183	1999	1617
1982	2111	2057	2038	1454
1983	2955	3630	3570	2865
1984	2107	2239	1894	1519
1985	1917	2017	1913	1353
1986	1752	2017	1692	1145
1987	1726	1723	1674	1241
1988	1857	1632	1186	1211
1989	1758	1720	1861	1323
1990	1615	1682	1351	1084
1991	1615	1284	1565	1263
1992	1615	1878	1755	1524
1993	2853	3158	2451	1967
1994	2070	2321	1898	1718
1995	2368	1956	2275	1928
1996	2440	2685	1954	1794
1997	2467	2033	1648	1415
1998	2087	3155	2733	2166
1999	1999	2579	2028	1408
2000	2102	2761	1979	1661
2001	1615	1782	1327	1045
2002	1914	2043	1728	1367
2003	2355	2338	2330	2654
