FRE_weir_No_Notch
Sac_Flow	Spill
0	0
50000	0
54273	0
64273	8618
74273	17237
84273	25855
94273	34474
104273	43092
114273	51710
124273	60329
134273	68947
144273	77566
154273	86184
164273	94802
174273	103421
184273	112039
194273	120658
204273	129276
214273	137894
224273	146513
234273	155131
244273	163750
254273	172368
264273	180986
274273	189605
284273	198223
294273	206842
304273	215460
314273	224078
324273	232697
334273	241315
344273	249934
354273	258552
364273	267170
374273	275789
384273	284407
394273	293026
404273	301644
414273	310262
424273	318881
434273	327499
444273	336118
454273	344736
460381	350000
999999	350000

