! source spreadsheet: FIXED_BST_SWP_SOD_2011DRR_090911_Exist.xls                     
AnnualReqDel_swp                        
Year AG   MWD  OTH  LOSS Total
1921 1017.1    1523.5    1240.2    64.5 3845.3
1922 1017.1    1191.9    1240.2    64.5 3513.7
1923 1017.1    1501.7    1240.2    64.5 3823.5
1924 1017.1    1745.9    1240.2    64.5 4067.7
1925 1017.1    1724.7    1240.2    64.5 4046.5
1926 1017.1    1561.8    1240.2    64.5 3883.6
1927 1017.1    1327.5    1240.2    64.5 3649.3
1928 1017.1    1681.8    1240.2    64.5 4003.6
1929 1017.1    1736.8    1240.2    64.5 4058.6
1930 1017.1    1706.6    1240.2    64.5 4028.4
1931 1017.1    1755.8    1240.2    64.5 4077.6
1932 1017.1    1458.0    1240.2    64.5 3779.8
1933 1017.1    1723.1    1240.2    64.5 4044.9
1934 1017.1    1765.6    1240.2    64.5 4087.4
1935 1017.1    1481.4    1240.2    64.5 3803.2
1936 1017.1    1554.0    1240.2    64.5 3875.8
1937 1002.1    1281.7    1240.2    64.5 3588.5
1938 1002.1    1248.4    1240.2    64.5 3555.2
1939 1017.1    1457.6    1240.2    64.5 3779.4
1940 1017.1    1497.4    1240.2    64.5 3819.2
1941 833.6     1012.5    1240.2    64.5 3150.8
1942 1017.1    1368.0    1240.2    64.5 3689.8
1943 1002.1    1462.8    1240.2    64.5 3769.6
1944 1017.1    1348.0    1240.2    64.5 3669.8
1945 1017.1    1397.1    1240.2    64.5 3718.9
1946 1017.1    1495.0    1240.2    64.5 3816.8
1947 1017.1    1738.8    1240.2    64.5 4060.6
1948 1017.1    1743.7    1240.2    64.5 4065.5
1949 1017.1    1648.9    1240.2    64.5 3970.7
1950 1017.1    1596.2    1240.2    64.5 3918.0
1951 1017.1    1563.7    1240.2    64.5 3885.5
1952 833.6     1077.2    1240.2    64.5 3215.5
1953 1017.1    1574.7    1240.2    64.5 3896.5
1954 1017.1    1618.0    1240.2    64.5 3939.8
1955 1017.1    1545.4    1240.2    64.5 3867.2
1956 1017.1    1423.7    1240.2    64.5 3745.5
1957 1017.1    1543.5    1240.2    64.5 3865.3
1958 1002.1    1311.5    1240.2    64.5 3618.3
1959 1017.1    1839.9    1240.2    64.5 4161.7
1960 1017.1    1899.5    1240.2    64.5 4221.3
1961 1017.1    1899.5    1240.2    64.5 4221.3
1962 1017.1    1473.3    1240.2    64.5 3795.1
1963 1017.1    1418.5    1240.2    64.5 3740.3
1964 1017.1    1691.4    1240.2    64.5 4013.2
1965 1017.1    1370.2    1240.2    64.5 3692.0
1966 1017.1    1506.9    1240.2    64.5 3828.7
1967 1002.1    1269.7    1240.2    64.5 3576.5
1968 1017.1    1576.8    1240.2    64.5 3898.6
1969 833.6     1155.8    1240.2    64.5 3294.1
1970 1017.1    1498.3    1240.2    64.5 3820.1
1971 1017.1    1621.5    1240.2    64.5 3943.3
1972 1017.1    1796.4    1240.2    64.5 4118.2
1973 1017.1    1395.9    1240.2    64.5 3717.7
1974 1017.1    1434.1    1240.2    64.5 3755.9
1975 1017.1    1504.4    1240.2    64.5 3826.2
1976 1017.1    1798.3    1240.2    64.5 4120.1
1977 1017.1    1732.2    1240.2    64.5 4054.0
1978 833.6     1125.1    1240.2    64.5 3263.4
1979 1017.1    1311.8    1240.2    64.5 3633.6
1980 833.6     1196.5    1240.2    64.5 3334.8
1981 1017.1    1618.6    1240.2    64.5 3940.4
1982 1002.1    1281.2    1240.2    64.5 3588.0
1983 833.6     1006.4    1240.2    64.5 3144.7
1984 1017.1    1476.6    1240.2    64.5 3798.4
1985 1017.1    1537.2    1240.2    64.5 3859.0
1986 833.6     1343.8    1240.2    64.5 3482.1
1987 1017.1    1689.1    1240.2    64.5 4010.9
1988 1017.1    1810.6    1240.2    64.5 4132.4
1989 1017.1    1882.0    1240.2    64.5 4203.8
1990 1017.1    1745.9    1240.2    64.5 4067.7
1991 1017.1    1741.7    1240.2    64.5 4063.5
1992 1017.1    1664.4    1240.2    64.5 3986.2
1993 1017.1    1343.6    1240.2    64.5 3665.4
1994 1017.1    1523.5    1240.2    64.5 3845.3
1995 1002.1    1281.2    1240.2    64.5 3588.0
1996 1017.1    1476.6    1240.2    64.5 3798.4
1997 1017.1    1343.6    1240.2    64.5 3665.4
1998 1002.1    1281.2    1240.2    64.5 3588.0
1999 1017.1    1476.6    1240.2    64.5 3798.4
2000 1017.1    1504.4    1240.2    64.5 3826.2
2001 1017.1    1745.9    1240.2    64.5 4067.7
2002 1017.1    1882.0    1240.2    64.5 4203.8
2003 1017.1    1504.4    1240.2    64.5 3826.2
