! Version 9 of the Common Assumptions Common Model Package (CMP)
! 2005 Level of Development Assumptions for the Common Assumptions Process
! source spreadsheet: CACMPV9_SWP_SOD_2005_071507.xls
AnnualReqDel_swp
Year             AG               MWD              OTH              LOSS             Total
             1921           1048.1           2011.5           1067.5             64.5           4191.6
             1922           1048.1           2011.5           1067.5             64.5           4191.6
             1923           1048.1           2011.5           1067.5             64.5           4191.6
             1924           1048.1           2011.5           1067.5             64.5           4191.6
             1925           1048.1           2011.5           1067.5             64.5           4191.6
             1926           1048.1           2011.5           1067.5             64.5           4191.6
             1927           1048.1           2011.5           1067.5             64.5           4191.6
             1928           1048.1           2011.5           1067.5             64.5           4191.6
             1929           1048.1           2011.5           1067.5             64.5           4191.6
             1930           1048.1           2011.5           1067.5             64.5           4191.6
             1931           1048.1           2011.5           1067.5             64.5           4191.6
             1932           1048.1           2011.5           1067.5             64.5           4191.6
             1933           1048.1           2011.5           1067.5             64.5           4191.6
             1934           1048.1           2011.5           1067.5             64.5           4191.6
             1935           1048.1           2011.5           1067.5             64.5           4191.6
             1936           1048.1           2011.5           1067.5             64.5           4191.6
             1937           1048.1           2011.5           1067.5             64.5           4191.6
             1938           1048.1           2011.5           1067.5             64.5           4191.6
             1939           1048.1           2011.5           1067.5             64.5           4191.6
             1940           1048.1           2011.5           1067.5             64.5           4191.6
             1941           1048.1           2011.5           1067.5             64.5           4191.6
             1942           1048.1           2011.5           1067.5             64.5           4191.6
             1943           1048.1           2011.5           1067.5             64.5           4191.6
             1944           1048.1           2011.5           1067.5             64.5           4191.6
             1945           1048.1           2011.5           1067.5             64.5           4191.6
             1946           1048.1           2011.5           1067.5             64.5           4191.6
             1947           1048.1           2011.5           1067.5             64.5           4191.6
             1948           1048.1           2011.5           1067.5             64.5           4191.6
             1949           1048.1           2011.5           1067.5             64.5           4191.6
             1950           1048.1           2011.5           1067.5             64.5           4191.6
             1951           1048.1           2011.5           1067.5             64.5           4191.6
             1952           1048.1           2011.5           1067.5             64.5           4191.6
             1953           1048.1           2011.5           1067.5             64.5           4191.6
             1954           1048.1           2011.5           1067.5             64.5           4191.6
             1955           1048.1           2011.5           1067.5             64.5           4191.6
             1956           1048.1           2011.5           1067.5             64.5           4191.6
             1957           1048.1           2011.5           1067.5             64.5           4191.6
             1958           1048.1           2011.5           1067.5             64.5           4191.6
             1959           1048.1           2011.5           1067.5             64.5           4191.6
             1960           1048.1           2011.5           1067.5             64.5           4191.6
             1961           1048.1           2011.5           1067.5             64.5           4191.6
             1962           1048.1           2011.5           1067.5             64.5           4191.6
             1963           1048.1           2011.5           1067.5             64.5           4191.6
             1964           1048.1           2011.5           1067.5             64.5           4191.6
             1965           1048.1           2011.5           1067.5             64.5           4191.6
             1966           1048.1           2011.5           1067.5             64.5           4191.6
             1967           1048.1           2011.5           1067.5             64.5           4191.6
             1968           1048.1           2011.5           1067.5             64.5           4191.6
             1969           1048.1           2011.5           1067.5             64.5           4191.6
             1970           1048.1           2011.5           1067.5             64.5           4191.6
             1971           1048.1           2011.5           1067.5             64.5           4191.6
             1972           1048.1           2011.5           1067.5             64.5           4191.6
             1973           1048.1           2011.5           1067.5             64.5           4191.6
             1974           1048.1           2011.5           1067.5             64.5           4191.6
             1975           1048.1           2011.5           1067.5             64.5           4191.6
             1976           1048.1           2011.5           1067.5             64.5           4191.6
             1977           1048.1           2011.5           1067.5             64.5           4191.6
             1978           1048.1           2011.5           1067.5             64.5           4191.6
             1979           1048.1           2011.5           1067.5             64.5           4191.6
             1980           1048.1           2011.5           1067.5             64.5           4191.6
             1981           1048.1           2011.5           1067.5             64.5           4191.6
             1982           1048.1           2011.5           1067.5             64.5           4191.6
             1983           1048.1           2011.5           1067.5             64.5           4191.6
             1984           1048.1           2011.5           1067.5             64.5           4191.6
             1985           1048.1           2011.5           1067.5             64.5           4191.6
             1986           1048.1           2011.5           1067.5             64.5           4191.6
             1987           1048.1           2011.5           1067.5             64.5           4191.6
             1988           1048.1           2011.5           1067.5             64.5           4191.6
             1989           1048.1           2011.5           1067.5             64.5           4191.6
             1990           1048.1           2011.5           1067.5             64.5           4191.6
             1991           1048.1           2011.5           1067.5             64.5           4191.6
             1992           1048.1           2011.5           1067.5             64.5           4191.6
             1993           1048.1           2011.5           1067.5             64.5           4191.6
             1994           1048.1           2011.5           1067.5             64.5           4191.6
             1995           1048.1           2011.5           1067.5             64.5           4191.6
             1996           1048.1           2011.5           1067.5             64.5           4191.6
             1997           1048.1           2011.5           1067.5             64.5           4191.6
             1998           1048.1           2011.5           1067.5             64.5           4191.6
             1999           1048.1           2011.5           1067.5             64.5           4191.6
             2000           1048.1           2011.5           1067.5             64.5           4191.6
             2001           1048.1           2011.5           1067.5             64.5           4191.6
             2002           1048.1           2011.5           1067.5             64.5           4191.6
             2003           1048.1           2011.5           1067.5             64.5           4191.6
             2004           1048.1           2011.5           1067.5             64.5           4191.6
             2005           1048.1           2011.5           1067.5             64.5           4191.6
             2006           1048.1           2011.5           1067.5             64.5           4191.6
             
