! DMC and Mendota Pool/Sack Dam Diversion Distribution
CVP_SOD_Dist						
month	DMC_AG	DMC_RF	DMC_MI	DMC_EX	MDP_AG	MDP_RF	MDP_EX
1	0.037	0.258	0.070	0.07	0.04	0.211	0.0686
2	0.010	0.151	0.102	0.023	0.02	0.135	0.0229
3	0.003	0.065	0.103	0.01	0.02	0.062	0.0105
4	0.003	0.026	0.068	0.01	0.03	0.041	0.0109
5	0.006	0.01	0.028	0.025	0.103	0.04	0.0287
6	0.022	0.009	0.111	0.08	0.06	0.038	0.0791
7	0.095	0.04	0.086	0.08	0.07	0.056	0.0795
8	0.144	0.09	0.075	0.11	0.107	0.083	0.1099
9	0.170	0.097	0.073	0.145	0.145	0.105	0.145
10	0.246	0.018	0.083	0.17	0.175	0.04	0.1702
11	0.181	0.042	0.095	0.167	0.16	0.047	0.1667
12	0.083	0.195	0.106	0.11	0.07	0.143	0.1081

! OLD -- 
! (updated 08.04.2011)
! CVP_SOD_Dist
! month	DMC_AG	DMC_RF	DMC_MI	DMC_EX	MDP_AG	MDP_RF	MDP_EX
! 1	0.040	0.258	0.070	0.0700	0.040	0.211	0.0686
! 2	0.020	0.151	0.102	0.0230	0.020	0.135	0.0229
! 3	0.020	0.065	0.103	0.0100	0.020	0.062	0.0105
! 4	0.030	0.026	0.068	0.0100	0.030	0.041	0.0109
! 5	0.103	0.010	0.028	0.0250	0.103	0.040	0.0287
! 6	0.060	0.009	0.111	0.0800	0.060	0.038	0.0791
! 7	0.070	0.040	0.086	0.0800	0.070	0.056	0.0795
! 8	0.107	0.090	0.075	0.1100	0.107	0.083	0.1099
! 9	0.145	0.097	0.073	0.1450	0.145	0.105	0.1450
! 10	0.175	0.018	0.083	0.1700	0.175	0.040	0.1702
! 11	0.160	0.042	0.095	0.1670	0.160	0.047	0.1667
! 12	0.070	0.195	0.106	0.1100	0.070	0.143	0.1081
