! Annual Loss Values
! Location code = #MMM where # is a canal code and MMM is the mile post
! 1 = DMC, 2 = CAA, 3 = XCC
CVP_SOD_Losses
Location	AnnLoss
1011	  	1.833
1016	  	0.833
1021	  	0.833
1030	  	1.500
1034	  	0.667
1054	  	3.333
1070	  	2.667
1091	  	3.500
1105	  	2.333
1111	  	1.000
2087	  	11.132
2095	  	4.948
2109	  	8.658
2143	  	21.027
2155	  	7.421
2156	  	0.618
2165	  	5.566
2172	  	4.329
3010	  	18.455
3025	  	27.682
3033	  	14.764
3042	  	16.609
3053	  	20.300
3054	  	1.845
3055	  	1.845
