! cvp_sod_rf.table
! monthly return flow factors to be applied to cvp deliveries
! contractor codes are 4-digit formulas
! first two digits are the WBA #
! third digit is 1-ag, 2-refuge, 3-m&i, 4-exchange
! 4th digit is the number of the entity
! So for example the return flow from 72PR5 is coded 7225
CVP_SOD_RF               
contractor	month	factor
5010		1	0.000
5010		2	0.000
5010		3	0.000
5010		4	0.000
5010		5	0.000
5010		6	0.000
5010		7	0.000
5010		8	0.000
5010		9	0.000
5010		10	0.000
5010		11	0.000
5010		12	0.000
5030		1	0.000
5030		2	0.000
5030		3	0.000
5030		4	0.000
5030		5	0.000
5030		6	0.000
5030		7	0.000
5030		8	0.000
5030		9	0.000
5030		10	0.000
5030		11	0.000
5030		12	0.000
6413		1	0.070
6413		2	0.070
6413		3	0.200
6413		4	0.200
6413		5	0.200
6413		6	0.070
6413		7	0.070
6413		8	0.070
6413		9	0.070
6413		10	0.070
6413		11	0.070
6413		12	0.070
6440		1	0.070
6440		2	0.070
6440		3	0.200
6440		4	0.200
6440		5	0.200
6440		6	0.070
6440		7	0.070
6440		8	0.070
6440		9	0.070
6440		10	0.070
6440		11	0.070
6440		12	0.070
7111		1	0.070
7111		2	0.070
7111		3	0.200
7111		4	0.200
7111		5	0.200
7111		6	0.070
7111		7	0.070
7111		8	0.070
7111		9	0.070
7111		10	0.070
7111		11	0.070
7111		12	0.070
7112		1	0.070
7112		2	0.070
7112		3	0.200
7112		4	0.200
7112		5	0.200
7112		6	0.070
7112		7	0.070
7112		8	0.070
7112		9	0.070
7112		10	0.070
7112		11	0.070
7112		12	0.070
7113		1	0.070
7113		2	0.070
7113		3	0.200
7113		4	0.200
7113		5	0.200
7113		6	0.070
7113		7	0.070
7113		8	0.070
7113		9	0.070
7113		10	0.070
7113		11	0.070
7113		12	0.070
7114		1	0.070
7114		2	0.070
7114		3	0.200
7114		4	0.200
7114		5	0.200
7114		6	0.070
7114		7	0.070
7114		8	0.070
7114		9	0.070
7114		10	0.070
7114		11	0.070
7114		12	0.070
7115		1	0.070
7115		2	0.070
7115		3	0.200
7115		4	0.200
7115		5	0.200
7115		6	0.070
7115		7	0.070
7115		8	0.070
7115		9	0.070
7115		10	0.070
7115		11	0.070
7115		12	0.070
7116		1	0.000
7116		2	0.000
7116		3	0.000
7116		4	0.000
7116		5	0.000
7116		6	0.000
7116		7	0.000
7116		8	0.000
7116		9	0.000
7116		10	0.000
7116		11	0.000
7116		12	0.000
7117		1	0.000
7117		2	0.000
7117		3	0.000
7117		4	0.000
7117		5	0.000
7117		6	0.000
7117		7	0.000
7117		8	0.000
7117		9	0.000
7117		10	0.000
7117		11	0.000
7117		12	0.000
7118		1	0.000
7118		2	0.000
7118		3	0.000
7118		4	0.000
7118		5	0.000
7118		6	0.000
7118		7	0.000
7118		8	0.000
7118		9	0.000
7118		10	0.000
7118		11	0.000
7118		12	0.000
7210		1	0.000
7210		2	0.000
7210		3	0.000
7210		4	0.000
7210		5	0.000
7210		6	0.000
7210		7	0.000
7210		8	0.000
7210		9	0.000
7210		10	0.000
7210		11	0.000
7210		12	0.000
7221		1	0.058
7221		2	0.153
7221		3	0.124
7221		4	0.079
7221		5	0.139
7221		6	0.094
7221		7	0.023
7221		8	0.050
7221		9	0.045
7221		10	0.027
7221		11	0.019
7221		12	0.189
7222		1	0.058
7222		2	0.153
7222		3	0.124
7222		4	0.079
7222		5	0.139
7222		6	0.094
7222		7	0.023
7222		8	0.050
7222		9	0.045
7222		10	0.027
7222		11	0.019
7222		12	0.189
7223		1	0.058
7223		2	0.153
7223		3	0.124
7223		4	0.079
7223		5	0.139
7223		6	0.094
7223		7	0.023
7223		8	0.050
7223		9	0.045
7223		10	0.027
7223		11	0.019
7223		12	0.189
7224		1	0.058
7224		2	0.153
7224		3	0.124
7224		4	0.079
7224		5	0.139
7224		6	0.094
7224		7	0.023
7224		8	0.050
7224		9	0.045
7224		10	0.027
7224		11	0.019
7224		12	0.189
7225		1	0.058
7225		2	0.153
7225		3	0.124
7225		4	0.079
7225		5	0.139
7225		6	0.094
7225		7	0.023
7225		8	0.050
7225		9	0.045
7225		10	0.027
7225		11	0.019
7225		12	0.189
7226		1	0.058
7226		2	0.153
7226		3	0.124
7226		4	0.079
7226		5	0.139
7226		6	0.094
7226		7	0.023
7226		8	0.050
7226		9	0.045
7226		10	0.027
7226		11	0.019
7226		12	0.189
7240		1	0.070
7240		2	0.070
7240		3	0.200
7240		4	0.200
7240		5	0.200
7240		6	0.070
7240		7	0.070
7240		8	0.070
7240		9	0.070
7240		10	0.070
7240		11	0.070
7240		12	0.070
7311		1	0.000
7311		2	0.000
7311		3	0.000
7311		4	0.000
7311		5	0.000
7311		6	0.000
7311		7	0.000
7311		8	0.000
7311		9	0.000
7311		10	0.000
7311		11	0.000
7311		12	0.000
7312		1	0.000
7312		2	0.000
7312		3	0.000
7312		4	0.000
7312		5	0.000
7312		6	0.000
7312		7	0.000
7312		8	0.000
7312		9	0.000
7312		10	0.000
7312		11	0.000
7312		12	0.000
7313		1	0.000
7313		2	0.000
7313		3	0.000
7313		4	0.000
7313		5	0.000
7313		6	0.000
7313		7	0.000
7313		8	0.000
7313		9	0.000
7313		10	0.000
7313		11	0.000
7313		12	0.000
7340		1	0.070
7340		2	0.070
7340		3	0.200
7340		4	0.200
7340		5	0.200
7340		6	0.070
7340		7	0.070
7340		8	0.070
7340		9	0.070
7340		10	0.070
7340		11	0.070
7340		12	0.070
9110		1	0.070
9110		2	0.070
9110		3	0.200
9110		4	0.200
9110		5	0.200
9110		6	0.070
9110		7	0.070
9110		8	0.070
9110		9	0.070
9110		10	0.070
9110		11	0.070
9110		12	0.070
9120		1	0.058
9120		2	0.153
9120		3	0.124
9120		4	0.079
9120		5	0.139
9120		6	0.094
9120		7	0.023
9120		8	0.050
9120		9	0.045
9120		10	0.027
9120		11	0.019
9120		12	0.189
