! SJR221 - SJR at Gravelly Ford
! FRS016 - Fresno River
! CHW017 - Chowchilla River
! CDMOBB - Cottonwood,Deadman,Mariposa,Owens,Bear,Burns
! FSL012 - Fresno Slough
! JBP006 - James Bypass
EC_US_Lander
month	SJR221	FRS016	CHW017	CDMOBB	FSL012 	JBP006	
1	100.0	100.0	100.0	100.0	100.0	100.0		
2	100.0	100.0	100.0	100.0	100.0	100.0	 	
3	100.0	100.0	100.0	100.0	100.0	100.0	 	
4	100.0	100.0	100.0	100.0	100.0	100.0	 	
5	100.0	100.0	100.0	100.0	100.0	100.0	 	
6	100.0	100.0	100.0	100.0	100.0	100.0	 	
7	100.0	100.0	100.0	100.0	100.0	100.0		
8	100.0	100.0	100.0	100.0	100.0	100.0		
9	100.0	100.0	100.0	100.0	100.0	100.0		
10	100.0	100.0	100.0	100.0	100.0	100.0		
11	100.0	100.0	100.0	100.0	100.0	100.0		
12	100.0	100.0	100.0	100.0	100.0	100.0	 	

