! ************************************************************^^
! BORROWED THIS FROM A FUTURE AN RUN JUST TO GET A SEED DEFINED
! MUST BE REPLACED WITH AN EXISTING LEVEL OPERATION
! ************************************************************^^
!
! ITER6_CALSIM inputs for simulating LCSPIM adjustments and Stage2 Transfers
!
! All inputs are provided by LCPSIM results.
! Since this is the second LCPSIM results since INT_ADJ has been reset then INT_ADJ is the cumulative total
!   of the INT_ADJ from every LCPSIM result since the reset.
!
! All inputs are provided by the ITER1_LCPSIM results:
!PRJ: scr_2030_appl
!SCN: None  INC: Base
!PRM: scr2030  STG: scr2030  MKT: scr2030  OPT: scr2030_int_ext
!SWP Aqueduct Cost: $332,364  SWP Wheeling Cost: $37,296
LCPSIM_SC_Output
YEAR          DEL_ADJ         INT_ADJ          SL_ADJ          GW_ADJ        SAC_TRANS       SJV_TRANS
1921            0.00            0.00            0.00            0.00            0.00            0.00
1922            0.00            0.00            0.00           60.90            0.00            0.00
1923            0.00            0.00            0.00           92.60            0.00            0.00
1924            0.00            0.00            0.00         -172.75            0.00            0.00
1925            0.00            0.00            0.00         -130.32          262.00           24.89
1926            0.00            0.00            0.00          -64.23           34.00          120.37
1927            0.00            0.00            0.00           31.70            0.00            0.00
1928            0.00            0.00            0.00           42.79            0.00            0.00
1929            0.00            0.00            0.00          -18.92          129.24            0.00
1930            0.00            0.00            0.00          -60.08           78.00          146.46
1931            0.00            0.00            0.00          -55.44          292.00          147.87
1932            0.00            0.00            0.00           36.54          324.00          145.16
1933            0.00            0.00            0.00         -105.73          206.00          148.78
1934            0.00            0.00            0.00          -15.85          166.00          153.09
1935            0.00            0.00            0.00           44.44            0.00            0.00
1936            0.00            0.00            0.00            0.00           34.00           30.51
1937            0.00            0.00            0.00          101.49            0.00            0.00
1938           -2.74            0.00            0.00          148.10            0.00            0.00
1939            0.00            0.00            0.00           92.60            0.00            0.00
1940            0.00            0.00            0.00          148.10            0.00            0.00
1941         -378.27            0.00            0.00          121.38            0.00            0.00
1942         -240.38           -7.82            0.00           87.20            0.00            0.00
1943         -104.47          -60.10            0.00           34.14            0.00            0.00
1944         -199.97            0.00            0.00           31.70            0.00            0.00
1945         -415.73          -41.37            0.00           31.70            0.00            0.00
1946         -441.99            0.00            0.00           31.70            0.00            0.00
1947            0.00            0.00            0.00          -31.55            0.00            0.00
1948            0.00            0.00            0.00          -50.00            0.00            0.00
1949            0.00            0.00            0.00         -190.06            0.00            0.00
1950            0.00            0.00            0.00          -50.00            0.00            0.00
1951            0.00            0.00            0.00           55.50            0.00            0.00
1952            0.00            0.00            0.00           60.90            0.00            0.00
1953            0.00            0.00            0.00           83.80            0.00            0.00
1954            0.00            0.00            0.00           70.80            0.00            0.00
1955            0.00            0.00            0.00          -50.00            0.00            0.00
1956            0.00            0.00            0.00            0.00            0.00            0.00
1957            0.00            0.00            0.00           48.85            0.00            0.00
1958          -52.97          -41.83            0.00           87.20            0.00            0.00
1959            0.00            0.00            0.00            0.00            0.00            0.00
1960            0.00            0.00            0.00          -50.00            0.00            0.00
1961            0.00            0.00            0.00         -197.47            0.00            0.00
1962            0.00            0.00            0.00         -121.26            0.00            0.00
1963            0.00            0.00            0.00           55.50            0.00            0.00
1964            0.00            0.00            0.00          -50.00            0.00            0.00
1965            0.00            0.00            0.00          -92.39            0.00            0.00
1966            0.00            0.00            0.00            0.00            0.00            0.00
1967            0.00            0.00            0.00          148.10            0.00            0.00
1968            0.00            0.00            0.00           31.70            0.00            0.00
1969            0.00          -10.33            0.00          148.10            0.00            0.00
1970           -7.25          -70.40            0.00           94.54            0.00            0.00
1971            0.00            0.00            0.00           31.70            0.00            0.00
1972            0.00            0.00            0.00          -50.00            0.00            0.00
1973            0.00            0.00            0.00           87.20            0.00            0.00
1974         -210.56            0.00            0.00           77.30            0.00            0.00
1975         -125.59          -46.90            0.00           23.72            0.00            0.00
1976            0.00            0.00            0.00          -50.00            0.00            0.00
1977            0.00            0.00            0.00         -169.75           40.42            0.00
1978            0.00            0.00            0.00           60.90            0.00            0.00
1979            0.00            0.00            0.00           39.10            0.00            0.00
1980         -276.78           -2.26            0.00           87.20            0.00            0.00
1981          -45.51            0.00            0.00           56.85            0.00            0.00
1982         -374.63            0.00            0.00            0.00            0.00            0.00
1983         -640.16         -368.84            0.00            0.00            0.00            0.00
1984         -528.77         -242.88            0.00            0.00            0.00            0.00
1985         -282.13            0.00            0.00            0.00            0.00            0.00
1986         -136.07          -82.46            0.00            0.00            0.00            0.00
1987            0.00            0.00            0.00          -50.00            0.00            0.00
1988            0.00            0.00            0.00         -179.31            0.00            0.00
1989            0.00            0.00            0.00         -122.02            0.00            0.00
1990            0.00            0.00            0.00         -161.87          241.69            0.00
1991            0.00            0.00            0.00         -156.28          268.00          156.82
1992            0.00            0.00            0.00          -61.29          232.00          146.09
1993            0.00            0.00            0.00           60.90            0.00            0.00
1994            0.00            0.00            0.00           75.72           72.00            9.69
1995            0.00            0.00            0.00           55.50            0.00            0.00
1996            0.00            0.00            0.00           60.90            0.00            0.00
1997            0.00            0.00            0.00            0.00            0.00            0.00
1998            0.00            0.00            0.00          105.72            0.00            0.00
1999            0.00            0.00            0.00          148.10            0.00            0.00
2000            0.00            0.00            0.00           31.70            0.00            0.00
2001            0.00            0.00            0.00          -50.00            0.00            0.00
2002            0.00            0.00            0.00         -141.32            0.00            0.00
2003            0.00            0.00            0.00         -122.27            0.00            0.00
