!Old Middle River standards, P1 Dec and Jan, P2 Feb, P3 Mar-Jun not in VAMP period.
!Actions are triggered only if values are greater than or equal to -10000.
!
! Periods to which actions apply (if overlapping periods apply maximum value of all that apply):
!        Dec25-Jan03  Jan01-Jan10  Jan11-Feb29  Feb19-Feb29  Mar01-Mar31  Apr01-Apr30  May01-May31  Jun01-Jun20
OldMiddleRiver_std
Year       P_1a_OMR     P_1b_OMR     P_2a_OMR     P_2b_OMR     P_3a_OMR     P_3b_OMR     P_3c_OMR     P_3d_OMR
1922        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1923        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1924        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1925        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1926        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1927        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1928        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1929        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1930        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1931        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1932        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1933        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1934        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1935        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1936        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1937        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1938        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1939        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1940        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1941        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1942        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1943        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1944        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1945        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1946        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1947        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1948        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1949        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1950        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1951        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1952        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1953        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1954        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1955        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1956        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1957        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1958        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1959        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1960        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1961        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1962        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1963        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1964        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1965        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1966        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1967        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1968        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1969        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1970        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1971        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1972        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1973        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1974        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1975        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1976        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1977        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1978        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1979        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1980        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1981        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1982        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1983        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1984        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1985        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1986        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1987        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1988        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1989        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1990        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1991        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1992        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1993        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1994        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1995        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1996        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1997        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1998        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
1999        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
2000        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
2001        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
2002        -999999      -999999      -999999      -999999      -999999      -999999      -999999      -999999
