! Pumping limits in cfs                     
TuolGWPUMP                      
month   min548pag   min548prv   max548pag   min532pag   min532prv   max532pag
1       130         72          130         33          16          33
2       0           0           0           0           0           0
3       0           0           0           0           0           0
4       0           0           0           0           0           0
5       0           0           0           0           0           0
6       24          76          98          16          16          16
7       109         136         168         42          34          42
8       138         220         244         41          49          98
9       168         284         286         42          67          101
10      195         307         276         49          65          114
11      179         263         244         49          65          114
12      168         124         202         34          34          34
