YUBA_wytypes
wateryear      YUBAindex
1921           1
1922           1
1923           2
1924           5
1925           3
1926           3
1927           1
1928           2
1929           4
1930           3
1931           5
1932           3
1933           4
1934           5
1935           2
1936           2
1937           2
1938           1
1939           4
1940           2
1941           1
1942           1
1943           1
1944           3
1945           2
1946           2
1947           4
1948           2
1949           3
1950           2
1951           1
1952           1
1953           1
1954           2
1955           4
1956           1
1957           2
1958           1
1959           4
1960           3
1961           5
1962           3
1963           1
1964           3
1965           1
1966           3
1967           1
1968           3
1969           1
1970           1
1971           1
1972           3
1973           2
1974           1
1975           1
1976           5
1977           5
1978           2
1979           3
1980           1
1981           4
1982           1
1983           1
1984           1
1985           3
1986           1
1987           5
1988           5
1989           3
1990           4
1991           5
1992           5
1993           2
1994           5
1995           1
1996           1
1997           1
1998           1
1999	       1
2000           2
2001           5
2002           4
2003           2
