!   99% 99% 99% 90% 90% <-  Exceedence level for Jan, Feb, Mar, Apr and May
!Extension to 2006 by E. Reyes-DWR
feather_runoff_forecast                                                                        
wateryear   JAN     FEB     MAR     APR     MAY                              
1922        1599    1453    2467    3018    1947
1923        2071    2266    1905    1543    1286
1924        821     712     607     514     346
1925        1039    864     917     822     479
1926        914     1106    1063    618     495
1927        1469    1548    1986    1903    1429
1928        1605    1533    1080    1142    605
1929        1121    1002    844     719     600
1930        912     1173    971     737     440
1931        965     944     761     723     540
1932        1655    1796    1458    1080    788
1933        954     1129    890     983     623
1934        1402    1150    1090    909     674
1935        1215    1686    1579    1961    1778
1936        1135    1371    2016    1623    970
1937        999     1121    1521    1729    1228
1938        1711    1846    3394    3955    2621
1939        1285    1251    1072    986     525
1940        881     1254    1855    1971    883
1941        1995    2374    2367    2112    1818
1942        1931    1989    1830    1720    1619
1943        1483    2009    1420    1251    567
1944        1131    1171    1351    1362    1071
1945        1514    1204    1306    1479    863
1946        2275    1719    1572    1630    748
1947        1325    1090    905     1225    788
1948        1015    989     757     1285    1768
1949        1194    1023    1007    1231    468
1950        886     1254    1144    1347    837
1951        1754    2045    1675    1461    985
1952        2788    4238    4178    4586    2669
1953        1954    2027    1286    1476    1300
1954        1128    1513    1503    1594    1050
1955        1341    1295    1118    944     948
1956        1732    2071    2457    1735    917
1957        1284    1331    1230    997     734
1958        1260    1448    1635    2209    1610
1959        1210    1296    1525    1220    704
1960        791     899     846     956     522
1961        1290    1230    976     1244    942
1962        1061    998     1750    2009    1061
1963        1767    1773    1023    1560    1724
1964        1422    1644    1167    1164    696
1965        1603    1753    972     807     402
1966        1833    1819    1559    1309    706
1967        1616    2644    1698    2234    2335
1968        1408    1798    1249    1147    507
1969        1791    2780    3220    2751    1805
1970        1722    2131    1513    1379    1006
1971        2650    2531    1758    2096    1330
1972        1403    1214    1001    514     346
1973        1162    1538    1716    1448    586
1974        2186    1962    1604    2430    1499
1975        1367    1194    1543    1822    1555
1976        1064    819     778     608     388
1977        791     701     607     514     346
1978        1080    1954    1909    1926    1911
1979        1082    1040    1318    1251    895
1980        1579    1252    1378    1117    689
1981        1188    1404    1051    1147    741
1982        2402    2332    1673    2262    1695
1983        2292    2669    3334    3696    3162
1984        2685    1777    1625    1488    1086
1985        1682    1373    1244    1518    798
1986        1102    1176    1457    1023    419
1987        1087    1009    797     774     383
1988        1073    1187    718     514     456
1989        1313    1199    932     1393    744
1990        1071    1156    1085    862     513
1991        791     701     607     971     578
1992        991     879     961     882     554
1993        1622    2630    3048    2421    1736
1994        1386    1246    1376    1124    893
1995        1224    2365    1562    2517    2112
1996        1412    1766    1644    1386    1062
1997        2465    1978    988     703     346
1998        1614    2190    3070    3036    2550
1999        1485    1514    1920    1642    1109
2000        1210    1595    2208    1790    1235
2001        1009    921     1001    836     585
2002        1861    1623    1260    1333    826
2003        2440    2074    1587    1713    2185
2004        1149    1154    1232    1265    1350
2005        1053    1057    1136    1168    1254
2006        1103    1108    1186    1219    1304
