keswick_tempcntrl
month           shastastor      surrogateflow
1        	0       	3250
1        	2000    	3250
1        	2500    	3250
1        	3250    	4000
1        	3750    	4500
1        	4500    	5000
1        	9999    	5000
2               0               3250
2               9999            3250
3               0               3250
3               9999            3250
4               0               3250
4               9999            3250
5               0               3250
5               9999            3250
6               0               3250
6               9999            3250
7       	0        	3250
7       	2000     	3250
7       	2500     	4000
7       	3250     	4250
7       	3750     	4500
7       	4500     	5000
7       	9999     	5000
8       	0        	3250
8       	2000     	3250
8       	2500     	5500
8       	3250     	6350
8       	3750     	7000
8       	4500     	8000
8       	9999     	8000
9       	0        	3250
9       	2000     	3250
9       	2500     	5500
9       	3250     	7000
9       	3750     	8000
9       	4500     	9000
9       	9999     	9000
10      	0        	3250
10      	2000     	3250
10      	2500     	6000
10      	3250     	8500
10      	3750     	9500
10      	4500     	11000
10      	9999     	11000
11      	0        	3250
11      	2000     	3250
11      	2500     	6000
11      	3250     	8000
11      	3750     	9000
11      	4500     	10000
11      	9999     	10000
12      	0        	3250
12      	2000     	3250
12      	2500     	4500
12      	3250     	5500
12      	3750     	6000
12      	4500     	6500
12      	9999     	6500

