!  Monthly distribution pattern for refuges
refuge_per
month   sutter   gray    sacramento  delevan  colusa
1       0.162    0.191   0.20        0.198    0.154
2       0.081    0.13    0.18        0.139    0.096
3       0.081    0.04    0.071       0.132    0.084
4       0.04     0.03    0.026       0.075    0.048
5       0.043    0.03    0.026       0.059    0.031
6       0.043    0.03    0.006       0.021    0.014
7       0.04     0.03    0.006       0.005    0.031
8       0.047    0.07    0.045       0.021    0.058
9       0.055    0.099   0.056       0.041    0.10
10      0.055    0.07    0.086       0.07     0.115
11      0.162    0.08    0.136       0.10     0.115
12      0.191    0.20    0.162       0.139    0.154
