res_level
res_num level   month   target
1     4    1    1850
1     4    2    1850
1     4    3    1850
1     4    4    1900
1     4    5    2000
1     4    6    2100
1     4    7    2300
1     4    8    2420
1     4    9    2447
1     4    10   2270
1     4    11   2150
1     4    12   1975
3     2    1    217
3     2    2    206
3     2    3    206
3     2    4    206
3     2    5    206
3     2    6    217
3     2    7    240
3     2    8    240
3     2    9    240
3     2    10   240
3     2    11   240
3     2    12   235
3     3    1    217
3     3    2    206
3     3    3    206
3     3    4    206
3     3    5    206
3     3    6    217
3     3    7    240
3     3    8    240
3     3    9    240
3     3    10   240
3     3    11   240
3     3    12   235
3     4    1    217
3     4    2    206
3     4    3    206
3     4    4    206
3     4    5    206
3     4    6    217
3     4    7    240
3     4    8    240
3     4    9    240
3     4    10   240
3     4    11   240
3     4    12   235
10    2    1    800
10    2    2    800
10    2    3    800
10    2    4    800
10    2    5    800
10    2    6    800
10    2    7    500
10    2    8    500
10    2    9    800
10    2    10   800
10    2    11   800
10    2    12   750
10    3    1    1970
10    3    2    1970
10    3    3    1970
10    3    4    1970
10    3    5    1970
10    3    6    2030
10    3    7    2220
10    3    8    2420
10    3    9    2420
10    3    10   2300
10    3    11   2130
10    3    12   2000
10    4    1    1970
10    4    2    1970
10    4    3    1970
10    4    4    1970
10    4    5    1970
10    4    6    2030
10    4    7    2220
10    4    8    2420
10    4    9    2420
10    4    10   2300
10    4    11   2130
10    4    12   2000
11    3    1    200
11    3    2    400
11    3    3    600
11    3    4    800
11    3    5    910
11    3    6    970
11    3    7    880
11    3    8    680
11    3    9    560
11    3    10   260
11    3    11   85
11    3    12   45
12    3    1    64
12    3    2    223
12    3    3    466
12    3    4    670
12    3    5    724
12    3    6    917
12    3    7    1067
12    3    8    678
12    3    9    494
12    3    10   266
12    3    11   183
12    3    12   44
15    3    1    30
15    3    2    25
15    3    3    25
15    3    4    25
15    3    5    25
15    3    6    35
15    3    7    40
15    3    8    40
15    3    9    40
15    3    10   40
15    3    11   40
15    3    12   40
76    3    1    57
76    3    2    57
76    3    3    57
76    3    4    57
76    3    5    57
76    3    6    58.5
76    3    7    62.5
76    3    8    67
76    3    9    67
76    3    10   67
76    3    11   67
76    3    12   63.5
76    4    1    57
76    4    2    57
76    4    3    57
76    4    4    57
76    4    5    57
76    4    6    58.5
76    4    7    62.5
76    4    8    67
76    4    9    67
76    4    10   67
76    4    11   67
76    4    12   63.5
16    3    1    57
16    3    2    57
16    3    3    57
16    3    4    57
16    3    5    57
16    3    6    58.5
16    3    7    62.5
16    3    8    67
16    3    9    67
16    3    10   67
16    3    11   67
16    3    12   63.5
16    4    1    57
16    4    2    57
16    4    3    57
16    4    4    57
16    4    5    57
16    4    6    58.5
16    4    7    62.5
16    4    8    67
16    4    9    67
16    4    10   67
16    4    11   67
16    4    12   63.5
18    2    1    135
18    2    2    135
18    2    3    151
18    2    4    175
18    2    5    221
18    2    6    200
18    2    7    200
18    2    8    200
18    2    9    200
18    2    10   170
18    2    11   135
18    2    12   135
18    3    1    325
18    3    2    355
18    3    3    436
18    3    4    436
18    3    5    437
18    3    6    492
18    3    7    495
18    3    8    505
18    3    9    521
18    3    10   515
18    3    11   477
18    3    12   379
18    4    1    436
18    4    2    436
18    4    3    436
18    4    4    436
18    4    5    457
18    4    6    524
18    4    7    524
18    4    8    524
18    4    9    524
18    4    10   524
18    4    11   524
18    4    12   524
20    3    1    676
20    3    2    650
20    3    3    676
20    3    4    676
20    3    5    676
20    3    6    737
20    3    7    850
20    3    8    950
20    3    9    970
20    3    10   970
20    3    11   900
20    3    12   770
20    4    1    674.6
20    4    2    674.6
20    4    3    674.6
20    4    4    674.6
20    4    5    674.6
20    4    6    735
20    4    7    845
20    4    8    970
20    4    9    1024
20    4    10   910
20    4    11   770
20    4    12   700
22    3    1    50
22    3    2    850
22    3    3    1200
22    3    4    1650
22    3    5    1800
22    3    6    2000
22    3    7    2000
22    3    8    1500
22    3    9    900
22    3    10   450
