salinity_std_jpt                   !AM 11/21/98 -- AG EC (mmhos/cm) standard at Jersey Pt(WQCP 5/95)                                         
month     wyt_SAC   ECstandard1     beginday1   endday1     ECstandard2     beginday2   endday2
7         1         0.45            1           30          0.45            0           0
8         1         0.45            1           31          0.45            0           0
9         1         0.45            1           30          0.45            0           0
10        1         0.45            1           31          0.45            0           0
11        1         0.45            1           15          0.45            0           0
7         2         0.45            1           30          0.45            0           0
8         2         0.45            1           31          0.45            0           0
9         2         0.45            1           30          0.45            0           0
10        2         0.45            1           31          0.45            0           0
11        2         0.45            1           15          0.45            0           0
7         3         0.45            1           30          0.45            0           0
8         3         0.45            1           31          0.45            0           0
9         3         0.45            1           20          0.74            21          30
10        3         0.74            1           31          0.74            0           0
11        3         0.74            1           15          0.74            0           0
7         4         0.45            1           30          0.45            0           0
8         4         0.45            1           31          0.45            0           0
9         4         0.45            1           15          1.35            16          30
10        4         1.35            1           31          1.35            0           0
11        4         1.35            1           15          1.35            0           0
7         5         2.20            1           30          2.20            0           0
8         5         2.20            1           31          2.20            0           0
9         5         2.20            1           30          2.20            0           0
10        5         2.20            1           31          2.20            0           0
11        5         2.20            1           15          2.20            0           0
