!factD531 and factD523 moved to time series input
sjr_monthly_data
month   limit_D78_MI factD533    factD549    factD531    factD523    demand_D78_MI  sjr_dist  D620_lim  D630A_lim
1       2.90         0.35        0.30        0.60        0.35        2.9            .05       50.00     50.00
2       2.90         0.35        0.30        0.60        0.35        2.9            .00       50.00     50.00
3       2.90         0.35        0.30        0.35        0.35        2.9            .00       50.00     50.00
4       2.80         0.35        0.30        0.35        0.35        2.8            .00       50.00     50.00
5       2.40         0.35        0.30        0.35        0.35        2.4            .00       50.00     50.00
6       2.80         0.35        0.30        0.60        0.40        2.8            .05       50.00     50.00
7       2.70         0.60        0.50        0.60        0.70        2.7            .15       50.00     50.00
8       3.00         0.75        0.65        0.60        0.75        3.0            .15       50.00     50.00
9       3.00         0.80        0.75        0.75        0.80        3.0            .2        50.00     50.00
10      3.10         0.80        0.65        0.70        0.80        3.1            .2        50.00     50.00
11      3.10         0.70        0.60        0.65        0.70        3.1            .1        50.00     50.00
12      3.00         0.70        0.55        0.60        0.70        3.0            .1        50.00     50.00
