!AG = SEWD and CSJ
!MI = SEWD
!Joint Model     MBK modified SEWD to be consistent with data from SEWD
stan_mon
month    SEWD      OSSJID    CSJSEWD
1        0.062     0.041     0.000
2        0.057     0.000     0.000
3        0.070     0.000     0.000
4        0.077     0.000     0.000
5        0.093     0.000     0.000
6        0.094     0.028     0.000
7        0.099     0.134     0.150
8        0.100     0.155     0.150
9        0.098     0.176     0.150
10       0.096     0.176     0.200
11       0.082     0.166     0.200
12       0.074     0.124     0.150
