!New Melones Operation Plan with (7 categories) NOAA Stan RPA and Vernalis RPA
!
!
! *** Old values from original CS3.0 (09.29.10)
! according to USBR STANMOD spreadsheet
! and New Melones Interim Operation Plan
! Joint Model
! stan_yr
! NMF     stanf   SEWD    CSJSEWD    NMWQcap  VernMinCap
! 0       00      0       0          0        0
! 1400    98      0       0          70       0
! 2000    125     0       0          80       0
! 2500    345     10      49         175      1000
! 3000    467     10      80         250      1000
! 6000    467     10      80         250      1000
! 7000    467     10      80         250      1000
! 8000    467     10      80         250      1000
! 9000    467     10      80         250      1000
! 10000   467     10      80         250      1000
!
!
! *** Values pulled from run w/ CS3.0-SAC and CSII-SJR w/ BO (from Andy, dated 04.26.11)
! stan_yr
! NMF     stanf   SEWD    CSJSEWD    NMWQcap  VernMinCap
! 0	0       0       0          0        0
! 1000	98.9000 0       0          9999     0
! 1399	98.9000 0       0          9999     0
! 1400	185.256 0       0          9999     0
! 1724	185.256 0       0          9999     50
! 1725	234.148 0       0          9999     50
! 2000	234.148 0       0          9999     50
! 2177	234.148 0       0          9999     50
! 2178	346.711 0       0          9999     50
! 2386	346.711 0       0          9999     50
! 2387	461.7   0       0          9999     50
! 2500	461.7   10      49         9999     50
! 2761	461.7   75      80         9999     9999
! 2762	586.9   75      80         9999     9999
! 3000	586.9   75      80         9999     9999
! 6000	586.9   75      80         9999     9999
!
!
! *** Values pulled from latest BDCP w/ BO (BDCP_2005A01A_EX..., dated 08.17.11)
!
stan_yr
NMF     stanf   SEWD    CSJSEWD    NMWQcap  VernMinCap
0	185.3   0       0          0        0
1000    185.3   0       0          9999     0
1399	185.3   0       0          9999     0
1400	234.1   0       0          9999     0
1724	234.1	0	0	   9999	    50
1999	234.1   0       0          9999     50
2000	346.7   0       0          9999     50
2387	346.7	0	0	   9999     50
2499	346.7   10      49         9999     50
2500	483.7   10      49         9999     50
2761	483.7   75	80  	   9999     9999		    
2999	483.7   75      80         9999     9999
3000	589.5	75	80	   9999     9999 
6000	589.5	75	80	   9999     9999

