! CCWD_demand_pattern - FUTURE LEVEL
! Los Vaqueros Reservoir Demand
! Wyear_type = water year type (SAC_index), month = month (OCT = 1)
! CCWD_base_demand = Contra Costa Water District base demand pattern (fraction)
! CCWD_rel_demand = Contra Costa Water District reliability demand (TAF).  End of February
! Source information: April 2004 Planning Report
CCWD_demand_pattern
wyear_type     month    CCWD_base_demand        CCWD_rel_demand
1               1       0.101945                0.101945
1               2       0.066230                0.066230
1               3       0.048964                0.048964
1               4       0.046216                0.046216
1               5       0.047998                0.047998
1               6       0.046954                0.046954
1               7       0.060518                0.060518
1               8       0.084966                0.084966
1               9       0.109180                0.109180
1               10      0.132911                0.132911
1               11      0.138050                0.138050
1               12      0.116067                0.116067
2               1       0.099908                0.099908
2               2       0.068421                0.068421
2               3       0.064520                0.064520
2               4       0.051199                0.051199
2               5       0.043169                0.043169
2               6       0.045008                0.045008
2               7       0.063332                0.063332
2               8       0.079969                0.079969
2               9       0.112046                0.112046
2               10      0.127571                0.127571
2               11      0.132008                0.132008
2               12      0.112850                0.112850
3               1       0.096185                0.096185
3               2       0.069215                0.069215
3               3       0.063342                0.063342
3               4       0.054338                0.054338
3               5       0.046534                0.046534
3               6       0.048113                0.048113
3               7       0.067676                0.067676
3               8       0.085487                0.085487
3               9       0.108877                0.108877
3               10      0.125511                0.125511
3               11      0.126777                0.126777
3               12      0.107946                0.107946
4               1       0.090013                0.090013
4               2       0.070492                0.070492
4               3       0.063815                0.063815
4               4       0.061792                0.061792
4               5       0.054823                0.054823
4               6       0.051487                0.051487
4               7       0.073064                0.073064
4               8       0.091678                0.091678
4               9       0.103894                0.103894
4               10      0.120077                0.120077
4               11      0.116641                0.116641
4               12      0.102224                0.102224
5               1       0.085117                0.085117
5               2       0.067903                0.067903
5               3       0.064177                0.064177
5               4       0.062475                0.062475
5               5       0.062173                0.062173
5               6       0.060439                0.060439
5               7       0.075270                0.075270
5               8       0.095041                0.095041
5               9       0.105575                0.105575
5               10      0.113790                0.113790
5               11      0.110534                0.110534
5               12      0.097507                0.097507
