OMRiverFlowDecDays
wateryear	DecDays
1920	0
1921	0
1922	0
1923	28
1924	0
1925	28
1926    0
1927    31
1928    27
1929    0
1930    6
1931    0
1932    28
1933    0
1934    0
1935    0
1936    0
1937    0
1938    30
1939    0
1940    0
1941    30
1942    30
1943    26
1944    0
1945    27
1946    16
1947    0
1948    0
1949    0
1950    0
1951    30
1952    30
1953    16
1954    27
1955    27
1956    23
1957    0
1958    14
1959    0
1960    0
1961    28
1962    29
1963    27
1964    0
1965    10
1966    0
1967    29
1968    0
1969    19
1970    17
1971    30
1972    0
1973    12
1974    27
1975    0
1976    0
1977    0
1978    14
1979    0
1980    6
1981    26
1982    31
1983    29
1984    27
1985    30
1986    30
1987    0
1988    27
1989    0
1990    0
1991    0
1992    0
1993    20
1994    0
1995    26
1996    18
1997    24
1998    27
1999    27
2000    0
2001    0
2002    29
2003    16
































