wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4920.24072266
1000.0        4920.24072266
1500.0        4920.24072266
2000.0        4920.24072266
2500.0        4920.24072266
3000.0        4920.24072266
3500.0        4920.24072266
4000.0        4920.24072266
4500.0        4920.24072266
5000.0        4920.24072266
5500.0        4920.24072266
6000.0        4920.24072266
6500.0        4920.24072266
7000.0        5581.43853041
7500.0        6357.65527538
8000.0        6569.52251656
8500.0        7289.35750906
9000.0        8073.26376705
9500.0        8974.79055682
10000.0        9621.95674723
10500.0        10659.1746549
11000.0        11415.6229305
11500.0        11745.9618211
12000.0        11876.5588796
12500.0        11918.7259373
13000.0        11918.7259373
13500.0        12049.9485942
14000.0        12179.3361035
14500.0        12179.3361035
15000.0        12179.3361035
15500.0        12179.3361035
16000.0        12179.3361035
16500.0        12179.3361035
17000.0        12179.3361035
17500.0        12179.3361035
18000.0        12179.3361035
18500.0        12179.3361035
19000.0        12179.3361035
19500.0        12179.3361035
20000.0        12179.3361035
