wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4471.1429292
1000.0        4471.1429292
1500.0        4471.1429292
2000.0        4471.1429292
2500.0        4471.1429292
3000.0        4471.1429292
3500.0        4471.1429292
4000.0        4471.1429292
4500.0        4471.1429292
5000.0        4471.1429292
5500.0        4471.1429292
6000.0        4471.1429292
6500.0        4754.78430259
7000.0        5552.25082399
7500.0        5742.52126869
8000.0        6351.69738271
8500.0        7463.642506
9000.0        8142.99480957
9500.0        8855.62290372
10000.0        9871.48405451
10500.0        10631.8288831
11000.0        11366.764643
11500.0        11713.3085309
12000.0        11922.4523421
12500.0        11990.8006258
13000.0        11990.8006258
13500.0        12125.9435018
14000.0        12147.9892742
14500.0        12147.9892742
15000.0        12147.9892742
15500.0        12147.9892742
16000.0        12147.9892742
16500.0        12147.9892742
17000.0        12147.9892742
17500.0        12147.9892742
18000.0        12147.9892742
18500.0        12147.9892742
19000.0        12147.9892742
19500.0        12147.9892742
20000.0        12147.9892742
