! Sum of Apr-Jul Oroville forecasted unimpaired inflows developed by BDO in 2003
! CDEC historical April FNF is used in May Apr-Jul estimation and CDEC historical April and May FNF are used in June Apr-Jul estimation
! 7-20-04
! Hongbing Yin
frst_Oro_Apr_Jul
wateryear Month	Q50	Q75	Q90	Q95	Q99
1922	4	1842	1249	1018	928	728
1922	5	1573	1194	1016	861	792
1922	6	2389	2116	2008	1881	1690
1922	7	3138	2936	2766	2706	2499
1922	8	2865	2742	2599	2535	2498
1922	9	3437	3437	3437	3437	3437
1923	4	2238	1593	1332	1228	990
1923	5	2227	1789	1575	1384	1296
1923	6	1985	1720	1616	1494	1311
1923	7	1774	1593	1442	1390	1209
1923	8	2013	1899	1765	1706	1671
1923	9	1563	1563	1563	1563	1563
1924	4	1153	656	477	411	382
1924	5	851	553	421	395	395
1924	6	515	418	418	418	418
1924	7	471	471	471	471	471
1924	8	471	471	471	471	471
1924	9	423	423	423	423	423
1925	4	1573	987	761	673	478
1925	5	1230	863	691	543	477
1925	6	1297	1044	945	830	657
1925	7	1149	971	823	771	594
1925	8	1224	1113	984	927	894
1925	9	1350	1350	1350	1350	1350
1926	4	1351	810	608	532	382
1926	5	1367	996	823	673	606
1926	6	1357	1111	1015	903	737
1926	7	896	732	596	548	471
1926	8	1548	1436	1307	1249	1217
1926	9	1517	1517	1517	1517	1517
1927	4	1938	1299	1043	941	708
1927	5	1818	1387	1176	989	904
1927	6	2115	1823	1707	1569	1359
1927	7	2132	1922	1744	1680	1463
1927	8	2406	2276	2123	2054	2014
1927	9	2256	2256	2256	2256	2256
1928	4	1908	1295	1054	959	746
1928	5	1696	1295	1104	936	860
1928	6	1309	1072	980	873	715
1928	7	1421	1228	1067	1010	815
1928	8	1490	1370	1231	1169	1133
1928	9	1572	1572	1572	1572	1572
1929	4	1462	917	712	634	464
1929	5	1161	826	673	544	488
1929	6	960	764	689	604	480
1929	7	825	691	582	544	471
1929	8	904	818	720	678	653
1929	9	966	966	966	966	966
1930	4	1633	1008	760	662	440
1930	5	1605	1177	969	784	700
1930	6	1376	1109	1004	881	696
1930	7	1089	899	740	684	493
1930	8	1309	1190	1050	989	953
1930	9	1514	1514	1514	1514	1514
1931	4	1273	760	573	503	382
1931	5	1121	789	637	509	453
1931	6	860	672	600	519	418
1931	7	841	706	595	557	471
1931	8	763	681	587	546	523
1931	9	538	538	538	538	538
1932	4	2032	1395	1139	1038	807
1932	5	1959	1531	1323	1138	1054
1932	6	1683	1426	1325	1207	1031
1932	7	1385	1207	1058	1006	828
1932	8	1568	1455	1324	1266	1233
1932	9	1826	1826	1826	1826	1826
1933	4	1296	776	585	514	382
1933	5	1334	975	808	665	602
1933	6	1014	815	739	652	526
1933	7	1149	1002	882	840	699
1933	8	1026	938	837	793	768
1933	9	1120	1120	1120	1120	1120
1934	4	1825	1214	974	880	668
1934	5	1473	1081	896	734	661
1934	6	1378	1134	1038	927	762
1934	7	1195	1026	885	835	668
1934	8	1092	988	869	816	786
1934	9	625	625	625	625	625
1935	4	1682	1088	857	767	566
1935	5	1867	1447	1245	1066	984
1935	6	1766	1507	1406	1288	1110
1935	7	2209	2019	1860	1803	1611
1935	8	3198	3072	2924	2859	2821
1935	9	3019	3019	3019	3019	3019
1936	4	1457	915	712	635	466
1936	5	1636	1229	1034	862	784
1936	6	2116	1832	1720	1587	1386
1936	7	1880	1680	1511	1452	1247
1936	8	1813	1690	1547	1483	1446
1936	9	1692	1692	1692	1692	1692
1937	4	1244	743	563	495	382
1937	5	1243	905	750	618	560
1937	6	1623	1386	1295	1188	1030
1937	7	1946	1768	1620	1568	1390
1937	8	2018	1907	1778	1721	1688
1937	9	2081	2081	2081	2081	2081
1938	4	2158	1484	1204	1091	829
1938	5	2049	1592	1366	1161	1067
1938	6	3069	2772	2652	2509	2289
1938	7	3979	3772	3594	3530	3309
1938	8	4005	3878	3726	3659	3619
1938	9	4184	4184	4184	4184	4184
1939	4	1495	971	777	704	547
1939	5	1343	1006	852	722	664
1939	6	1123	933	861	778	660
1939	7	1138	1001	890	851	722
1939	8	929	850	761	722	700
1939	9	794	794	794	794	794
1940	4	1351	808	605	527	382
1940	5	1611	1196	996	819	739
1940	6	2033	1744	1629	1494	1287
1940	7	2194	1982	1801	1737	1515
1940	8	1987	1856	1702	1634	1594
1940	9	1914	1914	1914	1914	1914
1941	4	2224	1570	1303	1197	952
1941	5	2328	1872	1646	1442	1348
1941	6	2356	2061	1944	1804	1591
1941	7	2287	2075	1896	1832	1611
1941	8	2618	2487	2332	2263	2223
1941	9	2620	2620	2620	2620	2620
1942	4	2188	1534	1267	1161	916
1942	5	2100	1647	1422	1220	1126
1942	6	1980	1688	1572	1433	1223
1942	7	1932	1724	1548	1485	1270
1942	8	2670	2540	2386	2317	2277
1942	9	2652	2652	2652	2652	2652
1943	4	1827	1219	981	887	677
1943	5	2099	1650	1429	1231	1139
1943	6	1672	1395	1286	1157	963
1943	7	1509	1305	1133	1072	862
1943	8	1600	1473	1325	1260	1221
1943	9	1878	1878	1878	1878	1878
1944	4	1385	860	667	594	437
1944	5	1299	951	791	654	594
1944	6	1465	1235	1146	1043	891
1944	7	1557	1391	1253	1205	1042
1944	8	1618	1514	1393	1340	1310
1944	9	1587	1587	1587	1587	1587
1945	4	1933	1303	1052	953	728
1945	5	1528	1128	937	769	694
1945	6	1602	1334	1228	1104	918
1945	7	1762	1568	1406	1348	1152
1945	8	1545	1428	1291	1231	1196
1945	9	1649	1649	1649	1649	1649
1946	4	2436	1759	1477	1363	1097
1946	5	1955	1506	1285	1087	995
1946	6	1805	1527	1417	1287	1091
1946	7	1892	1692	1524	1465	1261
1946	8	1581	1460	1320	1257	1221
1946	9	1721	1721	1721	1721	1721
1947	4	1732	1135	902	812	608
1947	5	1344	975	803	654	587
1947	6	1160	932	844	742	592
1947	7	1482	1306	1159	1107	931
1947	8	1337	1230	1106	1051	1020
1947	9	881	881	881	881	881
1948	4	1495	927	711	627	444
1948	5	1361	975	792	633	561
1948	6	1062	836	750	649	500
1948	7	1550	1375	1230	1179	1006
1948	8	2746	2624	2481	2417	2381
1948	9	2390	2390	2390	2390	2390
1949	4	1576	1008	791	707	523
1949	5	1226	878	718	582	521
1949	6	1158	946	865	771	634
1949	7	1453	1288	1151	1103	941
1949	8	1239	1141	1029	979	951
1949	9	1584	1584	1584	1584	1584
1950	4	1269	749	558	486	382
1950	5	1521	1132	947	786	714
1950	6	1436	1184	1087	972	801
1950	7	1635	1448	1292	1237	1050
1950	8	1832	1715	1578	1518	1483
1950	9	2080	2080	2080	2080	2080
1951	4	2198	1517	1229	1113	841
1951	5	2174	1707	1472	1258	1158
1951	6	1894	1598	1480	1339	1123
1951	7	1714	1502	1323	1260	1040
1951	8	1682	1552	1399	1330	1291
1951	9	1613	1613	1613	1613	1613
1952	4	2675	1997	1714	1599	1333
1952	5	3394	2926	2687	2469	2366
1952	6	3583	3287	3167	3024	2804
1952	7	4524	4313	4132	4067	3843
1952	8	4338	4207	4052	3983	3943
1952	9	4500	4500	4500	4500	4500
1953	4	2097	1480	1235	1139	922
1953	5	2118	1670	1450	1252	1161
1953	6	1570	1302	1197	1073	887
1953	7	1736	1542	1379	1321	1124
1953	8	2113	1989	1845	1781	1744
1953	9	2127	2127	2127	2127	2127
1954	4	1503	944	733	652	474
1954	5	1694	1292	1099	930	854
1954	6	1689	1430	1328	1210	1032
1954	7	1840	1648	1486	1429	1234
1954	8	2176	2054	1912	1849	1812
1954	9	2053	2053	2053	2053	2053
1955	4	1730	1136	905	815	614
1955	5	1523	1136	953	794	723
1955	6	1314	1085	996	893	741
1955	7	1146	991	862	817	666
1955	8	1383	1282	1164	1113	1083
1955	9	1345	1345	1345	1345	1345
1956	4	2204	1519	1229	1111	835
1956	5	2191	1723	1484	1265	1162
1956	6	2416	2122	2003	1860	1640
1956	7	1952	1739	1558	1493	1268
1956	8	1909	1778	1623	1553	1513
1956	9	2679	2679	2679	2679	2679
1957	4	1484	954	758	684	524
1957	5	1410	1059	896	758	697
1957	6	1422	1185	1093	986	828
1957	7	1257	1085	942	891	721
1957	8	1316	1209	1084	1029	997
1957	9	1597	1597	1597	1597	1597
1958	4	1750	1138	897	803	590
1958	5	1726	1305	1102	922	840
1958	6	1866	1578	1464	1328	1123
1958	7	2398	2186	2007	1943	1722
1958	8	2764	2633	2478	2409	2369
1958	9	3236	3236	3236	3236	3236
1959	4	1388	871	682	611	458
1959	5	1460	1086	910	758	690
1959	6	1663	1412	1313	1199	1027
1959	7	1436	1263	1119	1068	897
1959	8	1239	1135	1015	962	931
1959	9	1052	1052	1052	1052	1052
1960	4	1060	580	409	382	382
1960	5	1145	802	645	511	452
1960	6	1174	937	845	737	579
1960	7	1264	1082	931	877	695
1960	8	1214	1102	973	915	882
1960	9	1249	1249	1249	1249	1249
1961	4	1718	1122	889	799	596
1961	5	1488	1103	921	762	691
1961	6	1254	1018	926	820	662
1961	7	1508	1332	1186	1135	960
1961	8	1455	1347	1221	1166	1134
1961	9	1173	1173	1173	1173	1173
1962	4	1520	951	734	651	466
1962	5	1278	915	747	602	537
1962	6	1912	1643	1537	1412	1225
1962	7	2251	2055	1890	1832	1633
1962	8	2062	1943	1805	1743	1708
1962	9	1932	1932	1932	1932	1932
1963	4	2181	1508	1228	1115	853
1963	5	2000	1545	1320	1117	1023
1963	6	1443	1157	1043	908	704
1963	7	1817	1608	1431	1369	1153
1963	8	2979	2847	2692	2623	2583
1963	9	2820	2820	2820	2820	2820
1964	4	1752	1159	929	839	639
1964	5	1772	1366	1172	1001	923
1964	6	1345	1112	1022	918	763
1964	7	1355	1192	1058	1011	852
1964	8	1190	1092	980	930	902
1964	9	1202	1202	1202	1202	1202
1965	4	2139	1455	1165	1048	773
1965	5	2016	1548	1310	1092	990
1965	6	1422	1127	1009	868	654
1965	7	1130	919	740	677	471
1965	8	1579	1449	1308	1308	1308
1965	9	2297	2297	2297	2297	2297
1966	4	2012	1399	1157	1062	848
1966	5	1867	1460	1265	1094	1017
1966	6	1650	1407	1313	1203	1040
1966	7	1499	1331	1191	1142	977
1966	8	1461	1358	1239	1186	1156
1966	9	1444	1444	1444	1444	1444
1967	4	2035	1388	1126	1022	784
1967	5	2514	2051	1819	1608	1511
1967	6	1912	1626	1513	1380	1177
1967	7	2435	2224	2046	1982	1763
1967	8	2872	2741	2586	2517	2477
1967	9	2684	2684	2684	2684	2684
1968	4	1676	1104	886	801	615
1968	5	1865	1457	1262	1089	1012
1968	6	1490	1235	1136	1019	845
1968	7	1404	1221	1068	1014	830
1968	8	1122	1013	886	830	798
1968	9	1211	1211	1211	1211	1211
1969	4	2098	1457	1199	1097	863
1969	5	2591	2123	1886	1670	1569
1969	6	2944	2647	2528	2385	2165
1969	7	2880	2667	2485	2421	2196
1969	8	2978	2846	2691	2622	2582
1969	9	3379	3379	3379	3379	3379
1970	4	2047	1405	1146	1044	809
1970	5	2199	1730	1492	1274	1172
1970	6	1754	1457	1338	1196	980
1970	7	1593	1380	1199	1135	912
1970	8	1418	1288	1134	1065	1025
1970	9	1178	1178	1178	1178	1178
1971	4	2597	1922	1641	1527	1264
1971	5	2412	1956	1730	1527	1433
1971	6	1905	1629	1520	1392	1199
1971	7	2283	2077	1902	1840	1628
1971	8	2260	2133	1983	1917	1878
1971	9	2638	2638	2638	2638	2638
1972	4	1714	1131	906	819	625
1972	5	1418	1045	870	718	651
1972	6	1215	986	898	796	645
1972	7	663	506	471	471	471
1972	8	830	830	830	830	830
1972	9	1350	1350	1350	1350	1350
1973	4	1691	1084	846	752	542
1973	5	1830	1391	1177	986	898
1973	6	1918	1634	1522	1390	1189
1973	7	1730	1529	1359	1299	1093
1973	8	1457	1335	1193	1129	1093
1973	9	2060	2060	2060	2060	2060
1974	4	2409	1725	1435	1317	1041
1974	5	2120	1651	1414	1196	1095
1974	6	1836	1539	1421	1279	1063
1974	7	2560	2351	2171	2107	1884
1974	8	2630	2502	2349	2280	2241
1974	9	2653	2653	2653	2653	2653
1975	4	1589	1046	843	765	597
1975	5	1295	959	805	675	618
1975	6	1699	1453	1358	1246	1080
1975	7	2089	1898	1738	1682	1489
1975	8	2251	2132	1992	1930	1894
1975	9	2534	2534	2534	2534	2534
1976	4	1465	909	699	618	442
1976	5	1032	703	553	426	395
1976	6	945	742	664	576	446
1976	7	729	593	482	471	471
1976	8	638	556	525	525	525
1976	9	634	634	634	634	634
1977	4	962	498	382	382	382
1977	5	687	411	395	395	395
1977	6	455	418	418	418	418
1977	7	471	471	471	471	471
1977	8	403	403	403	403	403
1977	9	403	403	403	403	403
1978	4	1650	1047	812	719	513
1978	5	2126	1669	1442	1237	1142
1978	6	2079	1788	1673	1536	1327
1978	7	2169	1958	1778	1714	1494
1978	8	2698	2566	2411	2342	2302
1978	9	2104	2104	2104	2104	2104
1979	4	1280	778	597	529	386
1979	5	1178	842	688	558	501
1979	6	1454	1221	1131	1027	872
1979	7	1462	1294	1154	1105	940
1979	8	1492	1388	1266	1213	1182
1979	9	1709	1709	1709	1709	1709
1980	4	1952	1327	1078	979	756
1980	5	1688	1243	1024	828	738
1980	6	1698	1406	1290	1152	941
1980	7	1419	1210	1034	971	756
1980	8	1422	1293	1142	1075	1036
1980	9	1622	1622	1622	1622	1622
1981	4	1516	961	752	672	497
1981	5	1576	1189	1006	847	775
1981	6	1265	1033	944	840	687
1981	7	1374	1204	1063	1014	846
1981	8	1231	1128	1010	957	927
1981	9	967	967	967	967	967
1982	4	2532	1849	1551	1428	1136
1982	5	2336	1869	1630	1410	1307
1982	6	1887	1590	1470	1327	1107
1982	7	2432	2223	2044	1980	1757
1982	8	3429	3307	3162	3096	3058
1982	9	3381	3381	3381	3381	3381
1983	4	2460	1793	1518	1407	1151
1983	5	2570	2108	1877	1669	1572
1983	6	3086	2788	2669	2526	2306
1983	7	3829	3625	3450	3387	3168
1983	8	4112	3990	3844	3778	3740
1983	9	3328	3328	3328	3328	3328
1984	4	2728	2041	1746	1626	1341
1984	5	2091	1629	1397	1187	1090
1984	6	1952	1659	1543	1404	1193
1984	7	1864	1655	1477	1414	1196
1984	8	1804	1675	1523	1456	1416
1984	9	1470	1470	1470	1470	1470
1985	4	1979	1355	1107	1010	788
1985	5	1574	1182	996	834	761
1985	6	1429	1190	1097	989	829
1985	7	1734	1557	1410	1358	1182
1985	8	1462	1357	1236	1182	1151
1985	9	1158	1158	1158	1158	1158
1986	4	1590	1006	780	693	498
1986	5	1535	1128	932	761	683
1986	6	1750	1454	1335	1194	978
1986	7	1301	1088	906	842	618
1986	8	1159	1028	887	887	887
1986	9	1438	1438	1438	1438	1438
1987	4	1209	726	555	491	382
1987	5	1051	740	600	484	434
1987	6	907	714	641	558	437
1987	7	918	768	644	601	471
1987	8	716	628	602	602	602
1987	9	722	722	722	722	722
1988	4	1613	1019	788	698	497
1988	5	1531	1128	936	767	691
1988	6	1055	825	737	634	483
1988	7	761	608	482	471	471
1988	8	838	741	629	580	552
1988	9	715	715	715	715	715
1989	4	1790	1179	939	845	632
1989	5	1491	1101	916	755	683
1989	6	1222	991	901	798	644
1989	7	1706	1508	1341	1283	1081
1989	8	1614	1493	1351	1288	1252
1989	9	1312	1312	1312	1312	1312
1990	4	1474	918	707	627	450
1990	5	1411	1034	856	703	634
1990	6	1299	1069	981	878	726
1990	7	1083	925	795	749	595
1990	8	942	847	737	690	662
1990	9	788	788	788	788	788
1991	4	1131	638	461	396	382
1991	5	739	462	395	395	395
1991	6	489	418	418	418	418
1991	7	1234	1076	945	899	745
1991	8	1133	1037	926	877	850
1991	9	1118	1118	1118	1118	1118
1992	4	1428	877	670	590	417
1992	5	1125	785	629	497	439
1992	6	1217	989	901	798	647
1992	7	1132	971	838	792	635
1992	8	1080	981	867	817	789
1992	9	760	760	760	760	760
1993	4	1989	1360	1109	1010	785
1993	5	2502	2044	1817	1611	1516
1993	6	2855	2560	2443	2303	2090
1993	7	2608	2396	2217	2153	1932
1993	8	2699	2568	2414	2345	2306
1993	9	2506	2506	2506	2506	2506
1994	4	1662	1092	875	791	606
1994	5	1377	1019	853	711	648
1994	6	1484	1253	1164	1060	907
1994	7	1291	1136	1007	963	812
1994	8	1205	1110	1001	953	925
1994	9	800	800	800	800	800
1995	4	1705	1106	872	781	576
1995	5	2367	1902	1669	1457	1359
1995	6	1834	1545	1430	1293	1086
1995	7	2674	2463	2283	2218	1994
1995	8	3423	3297	3147	3080	3041
1995	9	3997	3997	3997	3997	3997
1996	4	1759	1184	964	879	691
1996	5	1950	1536	1337	1161	1081
1996	6	1936	1657	1546	1416	1219
1996	7	1821	1619	1449	1389	1183
1996	8	2218	2091	1942	1876	1838
1996	9	2603	2603	2603	2603	2603
1997	4	2468	1784	1495	1377	1102
1997	5	2024	1558	1319	1099	996
1997	6	1296	999	880	738	520
1997	7	850	637	471	471	471
1997	8	803	800	800	800	800
1997	9	1154	1154	1154	1154	1154
1998	4	1835	1239	1006	915	712
1998	5	2133	1688	1469	1273	1183
1998	6	2716	2420	2301	2160	1945
1998	7	2957	2743	2562	2497	2274
1998	8	3154	3023	2867	2798	2758
1998	9	2700	2700	2700	2700	2700
1999	4	1850	1235	991	896	680
1999	5	1748	1324	1119	937	854
1999	6	2029	1743	1630	1496	1293
1999	7	1861	1656	1483	1422	1211
1999	8	1858	1732	1584	1518	1480
1999	9	1924	1924	1924	1924	1924
2000	4	1499	949	742	663	490
2000	5	1682	1280	1088	920	844
2000	6	2068	1788	1678	1547	1349
2000	7	1796	1597	1430	1371	1169
2000	8	1795	1673	1529	1466	1429
2000	9	1620	1620	1620	1620	1620
2001	4	1361	829	632	557	395
2001	5	1111	777	625	496	440
2001	6	1169	953	871	775	635
2001	7	1027	875	751	708	562
2001	8	1015	921	814	766	739
2001	9	948	948	948	948	948
2002	4	1361	829	632	557	395
2002	5	1111	777	625	496	440
2002	6	1169	953	871	775	635
2002	7	1027	875	751	708	562
2002	8	1015	921	814	766	739
2002	9	948	948	948	948	948
2003	4	1361	829	632	557	395
2003	5	1111	777	625	496	440
2003	6	1169	953	871	775	635
2003	7	1027	875	751	708	562
2003	8	1015	921	814	766	739
2003	9	948	948	948	948	948


