wytypeSJR_Rest
WY     YT
1921   2
1922   2
1923   2
1924   5
1925   3
1926   3
1927   2
1928   3
1929   4
1930   4
1931   5
1932   2
1933   3
1934   4
1935   2
1936   2
1937   2
1938   1
1939   4
1940   2
1941   1
1942   2
1943   2
1944   3
1945   2
1946   2
1947   3
1948   3
1949   3
1950   3
1951   2
1952   1
1953   3
1954   3
1955   3
1956   1
1957   3
1958   1
1959   3
1960   4
1961   5
1962   2
1963   2
1964   4
1965   2
1966   3
1967   1
1968   4
1969   1
1970   3
1971   3
1972   3
1973   2
1974   2
1975   2
1976   5
1977   6
1978   1
1979   2
1980   1
1981   3
1982   1
1983   1
1984   2
1985   3
1986   1
1987   4
1988   4
1989   3
1990   4
1991   3
1992   4
1993   1
1994   4
1995   1
1996   2
1997   1
1998   1
1999   2
2000   2
2001   3
2002   3
2003   2
