wytypeTRIN
wateryear      index
  1921	         3
  1922           4
  1923           4
  1924           5
  1925           2
  1926           4
  1927           2
  1928           3
  1929           5
  1930           4
  1931           5
  1932           4
  1933           4
  1934           5
  1935           4
  1936           3
  1937           4
  1938           1
  1939           5
  1940           2
  1941           1
  1942           2
  1943           3
  1944           5
  1945           3
  1946           2
  1947           4
  1948           3
  1949           3
  1950           4
  1951           2
  1952           2
  1953           2
  1954           2
  1955           4
  1956           1
  1957           3
  1958           1
  1959           3
  1960           3
  1961           3
  1962           3
  1963           2
  1964           4
  1965           2
  1966           3
  1967           2
  1968           3
  1969           1
  1970           2
  1971           2
  1972           3
  1973           2
  1974           1
  1975           2
  1976           4
  1977           5
  1978           1
  1979           4
  1980           2
  1981           4
  1982           1
  1983           1
  1984           2
  1985           4
  1986           2
  1987           4
  1988           4
  1989           3
  1990           4
  1991           5
  1992           4
  1993           2
  1994           5
  1995		 1
  1996		 2
  1997		 2
  1998		 1
  1999		 2
  2000		 2
  2001		 4
  2002		 3
  2003		 2
