! http://cdec4gov.water.ca.gov/cgi-progs/iodir/WSIHIST		
! water year type index values from cdec		
! data updated on 03-29-2007		
CAM_SVI		
wy	sac	sjr
1907	14.07	6.20
1908	7.73	2.40
1909	12.78	5.02
1910	9.38	3.65
1911	11.93	6.14
1912	6.71	2.55
1913	7.23	2.39
1914	12.05	4.85
1915	10.99	4.13
1916	10.83	4.73
1917	8.83	4.14
1918	6.54	3.15
1919	8.14	2.91
1920	6.05	3.02
1921	10.65	3.60
1922	9.22	4.80
1923	7.37	3.55
1924	4.76	1.61
1925	8.23	3.55
1926	6.83	2.61
1927	10.80	4.00
1928	8.42	2.82
1929	5.74	2.38
1930	7.33	2.52
1931	4.89	1.70
1932	7.38	4.07
1933	5.98	2.66
1934	5.68	1.85
1935	8.76	4.17
1936	8.66	3.93
1937	7.55	4.05
1938	13.56	6.01
1939	5.58	2.20
1940	10.21	3.82
1941	11.80	4.65
1942	11.27	4.45
1943	9.77	4.04
1944	6.42	2.86
1945	7.89	3.94
1946	8.66	3.49
1947	6.30	2.42
1948	8.44	3.16
1949	6.96	2.90
1950	7.79	3.25
1951	10.20	3.47
1952	12.63	5.44
1953	9.56	3.02
1954	8.65	3.02
1955	6.59	2.66
1956	12.54	4.90
1957	7.83	3.02
1958	12.81	5.07
1959	6.76	2.21
1960	7.18	2.31
1961	6.82	1.91
1962	7.94	3.70
1963	10.64	3.86
1964	6.52	2.37
1965	11.23	4.27
1966	7.16	2.65
1967	11.05	5.65
1968	7.25	2.21
1969	11.87	6.55
1970	10.40	3.19
1971	10.37	3.15
1972	7.29	2.48
1973	9.39	3.96
1974	13.42	4.10
1975	9.35	3.96
1976	5.49	1.70
1977	4.52	1.42
1978	10.72	5.31
1979	7.07	3.67
1980	10.05	4.89
1981	6.50	2.44
1982	13.90	5.86
1983	15.29	7.22
1984	10.00	3.69
1985	6.47	2.57
1986	11.02	4.72
1987	5.88	1.90
1988	5.89	2.00
1989	7.74	2.57
1990	5.97	2.02
1991	5.77	2.55
1992	5.80	2.07
1993	10.32	4.79
1994	5.46	2.11
1995	14.39	6.44
1996	10.26	4.12
1997	10.82	4.20
1998	13.31	5.73
1999	9.80	3.59
2000	9.00	3.56
2001	6.08	2.42
2002	7.62	2.80
2003	9.31	3.24
2004	8.05	2.55
2005	9.23	5.21
2006	13.58	5.90
