! created by ryan wilbur 10-6-03
! X2 required days for port chicago
! 
CAM_X2_PC
PMI	Feb	Mar	Apr	May	Jun
0	0	0	0	0	0
250	1	0	0	0	0
333	2	0	0	0	0
417	3	0	0	0	0
500	4	1	0	0	0
562	5	1	0	0	0
625	6	1	0	0	0
688	7	2	0	0	0
750	8	2	0	0	0
771	8	2	0	0	0
792	9	2	0	0	0
812	9	2	0	0	0
833	9	3	0	0	0
854	10	3	0	0	0
875	10	3	0	0	0
896	10	3	0	0	0
917	11	3	0	0	0
938	11	3	0	0	0
959	11	4	0	0	0
980	12	4	0	0	0
1000	12	4	0	0	0
1011	12	4	0	0	0
1025	12	4	0	0	0
1039	12	4	0	0	0
1053	13	4	0	0	0
1066	13	5	0	0	0
1079	13	5	0	0	0
1092	13	5	0	0	0
1106	13	5	0	0	0
1120	13	5	0	0	0
1133	14	5	1	0	0
1147	14	5	1	0	0
1160	14	5	1	0	0
1174	14	5	1	0	0
1187	14	5	1	0	0
1201	14	6	1	0	0
1214	15	6	1	0	0
1223	15	6	1	0	0
1236	15	6	1	0	0
1250	15	6	1	0	0
1286	15	6	1	0	0
1321	16	7	1	0	0
1357	16	7	1	0	0
1393	17	8	1	0	0
1429	17	8	1	0	0
1464	18	9	1	0	0
1500	18	9	1	0	0
1536	18	9	1	0	0
1571	19	10	1	0	0
1607	19	10	1	0	0
1643	19	11	2	0	0
1679	19	11	2	0	0
1714	20	12	2	0	0
1750	20	12	2	0	0
1800	20	13	2	0	0
1850	20	13	3	0	0
1900	21	14	3	0	0
1950	21	14	4	0	0
2000	21	15	4	0	0
2125	22	16	4	1	0
2250	22	17	5	1	0
2281	22	17	5	1	0
2313	22	18	6	1	0
2344	22	18	6	1	0
2375	23	18	6	1	0
2406	23	18	7	1	0
2438	23	19	7	1	0
2469	23	19	8	1	0
2500	23	19	8	1	0
2528	23	19	8	1	0
2556	23	19	8	1	0
2583	23	20	9	1	0
2611	23	20	9	1	0
2639	24	20	9	2	0
2667	24	20	9	2	0
2695	24	21	10	2	0
2722	24	21	10	2	0
2750	24	21	10	2	0
2786	24	21	10	2	0
2821	24	22	11	3	0
2857	24	22	11	3	0
2893	25	22	11	3	0
2929	25	22	11	3	0
2964	25	23	12	4	0
3000	25	23	12	4	0
3062	25	23	13	5	0
3125	25	24	13	5	0
3188	25	24	14	6	0
3250	25	24	14	6	0
3300	25	24	14	7	0
3350	25	24	15	7	0
3400	25	25	15	8	0
3450	25	25	16	8	0
3500	25	25	16	9	0
3550	25	25	16	10	0
3600	25	25	17	10	0
3650	26	26	17	11	0
3700	26	26	18	11	0
3750	26	26	18	12	0
3800	26	26	18	13	0
3850	26	26	19	13	0
3900	26	27	19	14	0
3950	26	27	20	14	0
4000	26	27	20	15	0
4083	26	27	20	16	0
4167	26	27	21	17	1
4250	26	27	21	18	1
4333	26	27	22	19	1
4417	26	28	22	20	2
4500	26	28	23	21	2
4625	27	28	24	22	2
4750	27	28	24	23	3
4875	27	28	24	24	3
5000	27	28	25	25	4
5125	27	29	25	26	5
5250	27	29	25	26	6
5333	27	29	25	27	7
5417	27	29	26	27	8
5500	27	29	26	28	9
5562	27	29	26	28	10
5625	27	29	27	28	11
5688	27	29	27	28	12
5750	27	29	27	28	13
5833	27	29	27	28	14
5917	27	29	27	29	15
6000	27	29	27	29	16
6083	27	29	27	29	17
6167	27	30	27	29	18
6250	27	30	27	29	19
6333	27	30	27	29	20
6417	27	30	28	30	21
6500	27	30	28	30	22
6625	27	30	28	30	23
6750	27	30	28	30	24
6875	27	30	28	30	25
7000	27	30	28	30	26
7250	27	30	28	30	27
7500	27	30	29	30	28
7750	27	30	29	31	28
8000	27	30	29	31	29
8250	28	30	29	31	29
8500	28	30	29	31	29
8750	28	30	29	31	30
9000	28	30	29	31	30
9250	28	30	29	31	30
9500	28	31	29	31	30
9750	28	31	29	31	30
10000	28	31	30	31	30
