!per BDCP water Operations January 2010 PropOps
IFBypassFlows_vs_SAC
Sac_Flow	month	Level_I	Level_II	Level_III
0		4	0	0	0
5000		4	5000	5000	5000
7000		4	7000	7000	7000
9000		4	9000	9000	9000
11000		4	11000	11000	10000
15000		4	15000	13400	12000
17000		4	16600	14400	12400
20000		4	18400	15900	13000
999999		4	312399.7	211899.8	13000
0		5	0	0	0
5000		5	5000	5000	5000
7000		5	7000	7000	7000
9000		5	9000	9000	9000
11000		5	11000	11000	10000
15000		5	15000	13400	12000
17000		5	16600	14400	12400
20000		5	18400	15900	13000
999999		5	312399.7	211899.8	13000
0		6	0	0	0
5000		6	5000	5000	5000
7000		6	7000	7000	7000
9000		6	9000	9000	9000
11000		6	11000	11000	10000
15000		6	15000	13400	12000
17000		6	16600	14400	12400
20000		6	18400	15900	13000
999999		6	312399.7	211899.8	13000
0		7	0	0	0
5000		7	5000	5000	5000
7000		7	7000	7000	7000
9000		7	9000	9000	9000
11000		7	11000	11000	10000
15000		7	15000	13400	12000
17000		7	16600	14400	12400
20000		7	18400	15900	13000
999999		7	312399.7	211899.8	13000
0		8	0	0	0
5000		8	5000	5000	5000
7000		8	7000	7000	7000
9000		8	9000	9000	9000
11000		8	11000	11000	9800
15000		8	15000	13000	11400
17000		8	16400	13700	11800
20000		8	17900	14750	12400
999999		8	213899.8	210749.8	12400
0		9	0	0	0
5000		9	5000	5000	5000
7000		9	7000	7000	7000
9000		9	9000	9000	9000
11000		9	11000	11000	9600
15000		9	15000	12600	10800
17000		9	16200	13000	11200
20000		9	17400	13600	11800
999999		9	213399.8	209599.8	11800
0		10	0	0	0
5000		10	5000	5000	5000
7000		10	5000	5000	5000
9000		10	5000	5000	5000
11000		10	5000	5000	5000
15000		10	5000	5000	5000
17000		10	5000	5000	5000
20000		10	5000	5000	5000
999999		10	5000	5000	5000
0		11	0	0	0
5000		11	5000	5000	5000
7000		11	5000	5000	5000
9000		11	5000	5000	5000
11000		11	5000	5000	5000
15000		11	5000	5000	5000
17000		11	5000	5000	5000
20000		11	5000	5000	5000
999999		11	5000	5000	5000
0		12	0	0	0
5000		12	5000	5000	5000
7000		12	5000	5000	5000
9000		12	5000	5000	5000
11000		12	5000	5000	5000
15000		12	5000	5000	5000
17000		12	5000	5000	5000
20000		12	5000	5000	5000
999999		12	5000	5000	5000
0		1	0	0	0
5000		1	5000	5000	5000
7000		1	7000	7000	7000
9000		1	7000	7000	7000
11000		1	7000	7000	7000
15000		1	7000	7000	7000
17000		1	7000	7000	7000
20000		1	7000	7000	7000
999999		1	7000	7000	7000
0		2	0	0	0
5000		2	5000	5000	5000
7000		2	7000	7000	7000
9000		2	7000	7000	7000
11000		2	7000	7000	7000
15000		2	7000	7000	7000
17000		2	7000	7000	7000
20000		2	7000	7000	7000
999999		2	7000	7000	7000
0		3	0	0	0
5000		3	5000	5000	5000
7000		3	7000	7000	7000
9000		3	9000	9000	9000
11000		3	11000	11000	10000
15000		3	15000	13400	12000
17000		3	16600	14400	12400
20000		3	18400	15900	13000
999999		3	312399.7	211899.8	13000






