! SoSJRGWPUMP.table
! min509pag, min509prv, min505prv, min505pag values are BOGUS!
! Pumping limits in cfs
SoSJRGWPUMP
month   min591pag   min583pag min509pag   min505pag  min509prv   min505prv
1       0           8         0           0	     0           0
2       0           0         0           0	     0           0
3       0           0         0           0	     0           0
4       0           0         0           0	     0           0
5       0           0         0           0	     0           0
6       0           0         0           0	     0           0
7       0           25        20          20	     20          20
8       163         195       200         200	     200         200
9       252         336       300         300	     300         300
10      244         325       300         300	     300         300
11      244         325       300         300	     300         300
12      0           84        100         100	     100         100
