! defines the percent delivery of Article 56
swp_a56_del			
month	percent	pct_tot	pct_mon
1	100	0.95	0.03
2	100	0.98	0.03
3	100	1.00	0.03
4	100	0.22	0.22
5	100	0.37	0.15
6	100	0.48	0.11
7	100	0.57	0.08
8	100	0.62	0.05
9	100	0.71	0.09
10	100	0.80	0.09
11	100	0.88	0.08
12	100	0.92	0.05
1	50	0.95	0.03
2	50	0.98	0.03
3	50	1.00	0.03
4	50	0.22	0.22
5	50	0.37	0.15
6	50	0.48	0.11
7	50	0.57	0.08
8	50	0.62	0.05
9	50	0.71	0.09
10	50	0.80	0.09
11	50	0.88	0.08
12	50	0.92	0.05
1	30	0.95	0.03
2	30	0.98	0.03
3	30	1.00	0.03
4	30	0.22	0.22
5	30	0.37	0.15
6	30	0.48	0.11
7	30	0.57	0.08
8	30	0.62	0.05
9	30	0.71	0.09
10	30	0.80	0.09
11	30	0.88	0.08
12	30	0.92	0.05
