! New Baselines version (Feb 2010)
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_022510.xls
AnnualReqDel_swp
Year             AG               MWD              OTH              LOSS             Total
             1921           1048.1           1523.5           1204.3             64.5           3840.4
             1922           1048.1           1191.9           1204.3             64.5           3508.8
             1923           1048.1           1501.7           1204.3             64.5           3818.6
             1924           1048.1           1745.9           1204.3             64.5           4062.8
             1925           1048.1           1724.7           1204.3             64.5           4041.6
             1926           1048.1           1561.8           1204.3             64.5           3878.7
             1927           1048.1           1327.5           1204.3             64.5           3644.4
             1928           1048.1           1681.8           1204.3             64.5           3998.7
             1929           1048.1           1736.8           1204.3             64.5           4053.7
             1930           1048.1           1706.6           1204.3             64.5           4023.5
             1931           1048.1           1755.8           1204.3             64.5           4072.7
             1932           1048.1           1458.0           1204.3             64.5           3774.9
             1933           1048.1           1723.1           1204.3             64.5           4040.0
             1934           1048.1           1765.6           1204.3             64.5           4082.5
             1935           1048.1           1481.4           1204.3             64.5           3798.3
             1936           1048.1           1554.0           1204.3             64.5           3870.9
             1937           1002.1           1281.7           1204.3             64.5           3552.6
             1938           1002.1           1248.4           1204.3             64.5           3519.3
             1939           1048.1           1457.6           1204.3             64.5           3774.5
             1940           1048.1           1497.4           1204.3             64.5           3814.3
             1941            833.6           1012.5           1204.3             64.5           3114.9
             1942           1048.1           1368.0           1204.3             64.5           3684.9
             1943           1002.1           1462.8           1204.3             64.5           3733.7
             1944           1048.1           1348.0           1204.3             64.5           3664.9
             1945           1048.1           1397.1           1204.3             64.5           3714.0
             1946           1048.1           1495.0           1204.3             64.5           3811.9
             1947           1048.1           1738.8           1204.3             64.5           4055.7
             1948           1048.1           1743.7           1204.3             64.5           4060.6
             1949           1048.1           1648.9           1204.3             64.5           3965.8
             1950           1048.1           1596.2           1204.3             64.5           3913.1
             1951           1048.1           1563.7           1204.3             64.5           3880.6
             1952            833.6           1077.2           1204.3             64.5           3179.6
             1953           1048.1           1574.7           1204.3             64.5           3891.6
             1954           1048.1           1618.0           1204.3             64.5           3934.9
             1955           1048.1           1545.4           1204.3             64.5           3862.3
             1956           1048.1           1423.7           1204.3             64.5           3740.6
             1957           1048.1           1543.5           1204.3             64.5           3860.4
             1958           1002.1           1311.5           1204.3             64.5           3582.4
             1959           1048.1           1839.9           1204.3             64.5           4156.8
             1960           1048.1           1899.5           1204.3             64.5           4216.4
             1961           1048.1           1899.5           1204.3             64.5           4216.4
             1962           1048.1           1473.3           1204.3             64.5           3790.2
             1963           1048.1           1418.5           1204.3             64.5           3735.4
             1964           1048.1           1691.4           1204.3             64.5           4008.3
             1965           1048.1           1370.2           1204.3             64.5           3687.1
             1966           1048.1           1506.9           1204.3             64.5           3823.8
             1967           1002.1           1269.7           1204.3             64.5           3540.6
             1968           1048.1           1576.8           1204.3             64.5           3893.7
             1969            833.6           1155.8           1204.3             64.5           3258.2
             1970           1048.1           1498.3           1204.3             64.5           3815.2
             1971           1048.1           1621.5           1204.3             64.5           3938.4
             1972           1048.1           1796.4           1204.3             64.5           4113.3
             1973           1048.1           1395.9           1204.3             64.5           3712.8
             1974           1048.1           1434.1           1204.3             64.5           3751.0
             1975           1048.1           1504.4           1204.3             64.5           3821.3
             1976           1048.1           1798.3           1204.3             64.5           4115.2
             1977           1048.1           1732.2           1204.3             64.5           4049.1
             1978            833.6           1125.1           1204.3             64.5           3227.5
             1979           1048.1           1311.8           1204.3             64.5           3628.7
             1980            833.6           1196.5           1204.3             64.5           3298.9
             1981           1048.1           1618.6           1204.3             64.5           3935.5
             1982           1002.1           1281.2           1204.3             64.5           3552.1
             1983            833.6           1006.4           1204.3             64.5           3108.8
             1984           1048.1           1476.6           1204.3             64.5           3793.5
             1985           1048.1           1537.2           1204.3             64.5           3854.1
             1986            833.6           1343.8           1204.3             64.5           3446.2
             1987           1048.1           1689.1           1204.3             64.5           4006.0
             1988           1048.1           1810.6           1204.3             64.5           4127.5
             1989           1048.1           1882.0           1204.3             64.5           4198.9
             1990           1048.1           1745.9           1204.3             64.5           4062.8
             1991           1048.1           1741.7           1204.3             64.5           4058.6
             1992           1048.1           1664.4           1204.3             64.5           3981.3
             1993           1048.1           1343.6           1204.3             64.5           3660.5
             1994           1048.1           1523.5           1204.3             64.5           3840.4
             1995           1002.1           1281.2           1204.3             64.5           3552.1
             1996           1048.1           1476.6           1204.3             64.5           3793.5
             1997           1048.1           1343.6           1204.3             64.5           3660.5
             1998           1002.1           1281.2           1204.3             64.5           3552.1
             1999           1048.1           1476.6           1204.3             64.5           3793.5
             2000           1048.1           1504.4           1204.3             64.5           3821.3
             2001           1048.1           1745.9           1204.3             64.5           4062.8
             2002           1048.1           1882.0           1204.3             64.5           4198.9
             2003           1048.1           1504.4           1204.3             64.5           3821.3
