! New Baselines version (Feb 2010)
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_022510.xls
swp_table_a
contractor       tableA
                1            80.62
                2            42.00
                3           141.40
                4            12.70
                5             9.60
                6           121.10
                7            27.50
                8             9.31
                9             5.80
               10            50.00
               11            57.34
               12             3.00
               13           864.13
               14             2.30
               15          1911.50
               16            75.80
               17            23.20
               18             5.70
               19            21.30
               20           102.60
               21            28.80
               22            17.30
               23            25.00
               24            45.49
               25           100.00
               26            47.41
               27            95.92
               28            20.00
               29           134.60
               30            82.50
